[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: アズサ（水着）.png]
[画像タイトル: 06F6E8A9-0F52-4B0D-84EA-9AD903FEE44B.jpeg]
[画像タイトル: Edit バージョン/アズサ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CHILL.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATDEBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 摩耗したファイストス円盤]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: エーテルの結晶]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 摩耗したファイストス円盤]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: エーテルの結晶]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: エーテルの結晶]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_10019.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: アズサ]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: アズサ（水着）_メモリアルロビー.jpg]
[画像タイトル: 1Atu4g6.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: アズサ（水着）_icon.png]
[画像タイトル: おしゃれなくし]
[画像タイトル: リボンのついた熊のぬいぐるみ]
[画像タイトル: 夏模様の浮き輪]
[画像タイトル: ウェーブキャットの枕]
[画像タイトル: ペロロの腹筋ローラー]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Poolparty_01_B_Sofa_01.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #p8191c1f]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-11 (火) 12:00:29
全キャラクター一覧
>
★3キャラクター一覧
>
アズサ（水着）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
いつヒマリEXをかけるべきか
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
アズサ（水着）
フルネーム
白洲
アズサ
レアリティ
★3
役割
STRIKER
ポジション
MIDDLE
クラス
アタッカー
武器種
AR
遮蔽物
使う
攻撃タイプ
神秘
防御タイプ
軽装備
学園
トリニティ総合学園2年生
部活
補習授業部
年齢
16歳
誕生日
12月26日
身長
149cm
趣味
なし
デザイン
NAMYO
イラスト
NAMYO
CV
種田梨沙
ちびキャラ
各バージョン
一覧
★3
アズサ
★3
アズサ（水着）
基本情報
トリニティ総合学園所属、初めて海に遊びに来ることになった補習授業部の氷の魔女。
誰にも迷惑をかけないように「普段通り冷静な自分でいよう」と思ってはいたが、
初めての海と一緒に来た友人が、どうやら彼女をジッとはさせてくれない模様。
ただでさえ初めての海、周囲からの視線、それらに対する少しの緊張も相まって、
普段の彼女に比べるとそれなりにそわそわしている。
入手方法
限定ピックアップ募集
「ただ四囲は夢幻なりや？」(2021/06/30～2021/07/15)
復刻限定ピックアップ募集
(2022/04/20～2022/04/27)
復刻限定ピックアップ募集
(2023/05/17～2023/05/24)
復刻限定ピックアップ募集
(2024/10/10～2024/10/16)
ステータス(初期値/MAX値)
HP
2204
/20028(★3Lv90)
/21638(★4Lv90)
/24141(★5Lv90)
攻撃力
258
/2342(★3Lv90)
/2610(★4Lv90)
/2937(★5Lv90)
防御力
17/93
治癒力
1851
/5180(★3Lv90)
/5709(★4Lv90)
/6370(★5Lv90)
命中値
787
回避値
699
会心値
225
会心ダメージ
200%
防御貫通値
0
安定値
1224
射程距離
650
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
C
屋外戦闘力
C
屋内戦闘力
S
装備（装着可能Lv）
Lv1
グローブ
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
spicea aqua
Lv
コスト
効果
1
5
敵1人に対して、攻撃力の
651%
分のダメージ/
攻撃力の
406%
分の
悪寒
持続ダメージを付与（
20秒
間）
2
敵1人に対して、攻撃力の
651%
分のダメージ/
攻撃力の
467%
分の
悪寒
持続ダメージを付与（
20秒
間）
3
敵1人に対して、攻撃力の
749%
分のダメージ/
攻撃力の
528%
分の
悪寒
持続ダメージを付与（
20秒
間）
4
敵1人に対して、攻撃力の
749%
分のダメージ/
攻撃力の
589%
分の
悪寒
持続ダメージを付与（
20秒
間）
5
敵1人に対して、攻撃力の
847%
分のダメージ/
攻撃力の
650%
分の
悪寒
持続ダメージを付与（
20秒
間）
↑
ノーマルスキル
†
ira litore
Lv
効果
1
35秒
毎に、会心ダメージ率を
21%
増加（
30秒
間）
2
35秒
毎に、会心ダメージ率を
22.1%
増加（
30秒
間）
3
35秒
毎に、会心ダメージ率を
23.1%
増加（
30秒
間）
4
35秒
毎に、会心ダメージ率を
27.4%
増加（
30秒
間）
5
35秒
毎に、会心ダメージ率を
28.4%
増加（
30秒
間）
6
35秒
毎に、会心ダメージ率を
29.5%
増加（
30秒
間）
7
35秒
毎に、会心ダメージ率を
33.7%
増加（
30秒
間）
8
35秒
毎に、会心ダメージ率を
34.7%
増加（
30秒
間）
9
35秒
毎に、会心ダメージ率を
35.8%
増加（
30秒
間）
10
35秒
毎に、会心ダメージ率を
40%
増加（
30秒
間）
↑
パッシブスキル
†
奪われる温度
奪われる温度+
Lv
効果
効果（固有武器★2）
1
攻撃力を
14%
増加
攻撃力を
254
増加/
さらに攻撃力を
14%
増加
2
攻撃力を
14.7%
増加
攻撃力を
266
増加/
さらに攻撃力を
14.7%
増加
3
攻撃力を
15.4%
増加
攻撃力を
279
増加/
さらに攻撃力を
15.4%
増加
4
攻撃力を
18.2%
増加
攻撃力を
330
増加/
さらに攻撃力を
18.2%
増加
5
攻撃力を
18.9%
増加
攻撃力を
342
増加/
さらに攻撃力を
18.9%
増加
6
攻撃力を
19.6%
増加
攻撃力を
355
増加/
さらに攻撃力を
19.6%
増加
7
攻撃力を
22.4%
増加
攻撃力を
406
増加/
さらに攻撃力を
22.4%
増加
8
攻撃力を
23.1%
増加
攻撃力を
418
増加/
さらに攻撃力を
23.1%
増加
9
攻撃力を
23.8%
増加
攻撃力を
431
増加/
さらに攻撃力を
23.8%
増加
10
攻撃力を
26.6%
増加
攻撃力を
482
増加/
さらに攻撃力を
26.6%
増加
↑
サブスキル
†
傷口に塩水を
Lv
効果
1
攻撃時、
30%
の確率で防御力を
8%
減少（
13秒
間）（クールタイム
5秒
）
2
攻撃時、
30%
の確率で防御力を
8.4%
減少（
13秒
間）（クールタイム
5秒
）
3
攻撃時、
30%
の確率で防御力を
8.8%
減少（
13秒
間）（クールタイム
5秒
）
4
攻撃時、
30%
の確率で防御力を
10.4%
減少（
13秒
間）（クールタイム
5秒
）
5
攻撃時、
30%
の確率で防御力を
10.8%
減少（
13秒
間）（クールタイム
5秒
）
6
攻撃時、
30%
の確率で防御力を
11.2%
減少（
13秒
間）（クールタイム
5秒
）
7
攻撃時、
30%
の確率で防御力を
12.8%
減少（
13秒
間）（クールタイム
5秒
）
8
攻撃時、
30%
の確率で防御力を
13.3%
減少（
13秒
間）（クールタイム
5秒
）
9
攻撃時、
30%
の確率で防御力を
13.7%
減少（
13秒
間）（クールタイム
5秒
）
10
攻撃時、
30%
の確率で防御力を
15.3%
減少（
13秒
間）（クールタイム
5秒
）
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x14
3
500,000
x12
x18
x12
x30
4
3,000,000
x12
x18
x12
x24
5
10,000,000
x8
x18
x7
x21
↑
その他スキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
5,000
x5
3
7,500
x8
4
60,000
x5
x12
x6
5
90,000
x8
x3
x12
6
300,000
x5
x12
x9
x18
7
450,000
x8
x4
x16
8
1,500,000
x8
x12
x4
x6
9
2,400,000
x12
x9
x14
10
4,000,000
x1
↑
固有武器
†
Et Omnia Vanitas
詳細
アズサが手にしているアサルトライフル。
海を目にして実は心が躍っている持ち主とは異なり、いつも通りの輝きを湛えている。
限界突破
★2
パッシブスキルが「
奪われる温度+
」に変化（攻撃力増加を追加）
★3
屋内戦への地形別戦闘力をSSに強化
★4
今後のアップデートで追加予定です
★5
今後のアップデートで追加予定です
Lv.1
Lv.30
Lv.40
Lv.50
Lv.60
Lv.70
攻撃力
93
338
422
506
-
-
最大HP
566
2057
2571
3085
-
-
↑
能力解放
†
Lv.10
Lv.20
Lv.25
最大HP
+358
+715
+894
攻撃力
+38
+76
+96
治癒力
+88
+176
+220
↑
必要素材
†
＋クリックで展開
Lv
素材
クレジットポイント
1-5
100,000
(500,000)
x2(10)
x10(50)
6-10
100,000
(500,000)
x2(10)
x15(75)
11-15
100,000
(500,000)
x2(10)
x20(100)
16-20
200,000
(1,000,000)
x4(20)
x6(30)
21-25
200,000
(1,000,000)
x4(20)
x8(40)
※括弧内は5Lv分合計
↑
絆ランクボーナス
†
＋クリックで展開
RANK
絆ランクボーナス
2-5
攻撃力+2
6-10
攻撃力+3
11-15
攻撃力+4 最大HP+50
16-20
攻撃力+5 最大HP+59
～20合計
攻撃力+68 最大HP+545
21-30
攻撃力+1 最大HP+10
31-40
攻撃力+2 最大HP+16
41-50
攻撃力+3 最大HP+26
合計
攻撃力+128 最大HP+1065
↑
ボーナス対象
†
対象
絆20合計ボーナス
絆50合計ボーナス
攻撃力+68 最大HP+610
攻撃力+128 最大HP+1190
↑
絆ストーリー
†
クリックで絆ストーリー一覧を開く
EP
タイトル
解放
絆RANK
報酬
1
護衛対象
2
青輝石x20
2
そばにいるから
3
青輝石x40
3
私の世界
5
青輝石x60, メモリアルロビー解禁
4
贅沢なひと時
6
青輝石x80
↑
メモリアルロビー
†
BGM
：Luminous memory
クリックでメモリアルロビー画像を開く
メモロビアニメーションを開く　(サイズは5MB。 開くと読み込みます)
メモロビ制作スタッフ
スタッフ
役割
コンテンツ
Prenguin
シナリオライター
メモリアルロビー アズサ（水着）
Hwansang
イラストレーター
メモリアルロビー アズサ（水着）
LM5
アニメーター
メモリアルロビー アズサ（水着）
CookieBox
背景協力(2D)
メモリアルロビー アズサ（水着）
テーブル/コンテンツ担当スタッフ
↑
贈り物
†
クリックで好きな贈り物一覧を開く
___
生徒
___
________
高級贈り物
________
_______________________________
通常贈り物
_______________________________
効果特大
効果大
効果大
効果中
アズサ（水着）
↑
家具モーション
†
対象生徒
__
画像
__
対象家具
ﾚｱﾘﾃｨ
種別
シリーズ
備考
アズサ（水着）
天蓋付きリゾートソファ
★3
椅子
サマーリゾート
↑
ボイス
†
クリックでセリフ一覧を開く
一般
獲得
白洲アズサ、目標地点の海に到着。すぐに予定の任務を始める。……別に浮かれてるとか、そういうわけじゃない。
カフェ1
ちょっと疲れたかもしれない……。
カフェ2
なんだか視線を感じるような……
カフェ3
……ふふっ。
カフェ4
意外と動きやすいし、悪くない……
カフェ5
やっぱりこれ、可愛い……
絆ランク増加1
うん、良い感じだ。先生は？
絆ランク増加2
海は楽しい所……。うん、理解した。
絆ランク増加3
もう少し……もう少しこのまま……この時間が続いてほしい。
絆ランク増加4
こうやって悩むことがないのは良いことだ。
生徒強化1
確実に成長してる。
生徒強化2
日々のサポートに感謝する。この借りはいつか必ず。
生徒強化3
いつも適切なサポートを助かる。
生徒強化4
うん、悪くない気分だ。
固有武器解放
