[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: イチカ.png]
[画像タイトル: イチカ_SD1.png]
[画像タイトル: Edit バージョン/イチカ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_FAN.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BULLETTYPEBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_EXTRADAMAGE.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 髪伸び人形の破片]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: 破損した髪伸び人形]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 修理済みの髪伸び人形]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 髪伸び人形の破片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 髪伸び人形の破片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: 破損した髪伸び人形]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 修理済みの髪伸び人形]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 修理済みの髪伸び人形]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_Ichika.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: イチカ_メモロビ.jpg]
[画像タイトル: Sy2I4Wb.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: イチカ_icon.png]
[画像タイトル: サミュエラ「ザ・ビヨンド」]
[画像タイトル: エイ～ブックレア]
[画像タイトル: おしゃれなくし]
[画像タイトル: チェリーローズカラーのグロス]
[画像タイトル: エーポッドプロ]
[画像タイトル: お肌を透明にするBBクリーム]
[画像タイトル: ミリタリー用カモフラージュクリーム3種セット]
[画像タイトル: ゲームガールカラー復刻版]
[画像タイトル: 刺繍付きのハンカチ]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Autumnsports_01_Chair_03.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: イチカ_ちびキャラ.jpg]
[画像タイトル: 表情差分1-min.png]
[画像タイトル: 表情差分2-min.png]
[画像タイトル: 表情差分3-min.png]
[画像タイトル: 表情差分4-min.png]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-25 (火) 20:06:36
全キャラクター一覧
>
★3キャラクター一覧
>
イチカ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
イチカ
フルネーム
仲正
イチカ
レアリティ
★3
役割
STRIKER
ポジション
MIDDLE
クラス
アタッカー
武器種
AR
遮蔽物
使う
攻撃タイプ
振動
防御タイプ
重装甲
学園
トリニティ総合学園2年生
部活
正義実現委員会
年齢
16歳
誕生日
11月11日
身長
163cm
趣味
人助け、
色々手を出している最中
デザイン
7peach
イラスト
7peach
CV
鷲見友美ジェナ
ちびキャラ
各バージョン
一覧
★3
イチカ
基本情報
いつも穏やかな表情のトリニティ総合学園所属、正義実現委員会の一員。
様々な生徒が所属する正義実現委員会の中で、仲裁を主に担当している。
他学園との関係も比較的良い方。
人当たりの良い性格は、生来のものではなく努力の賜物なのだとか。
入手方法
ピックアップ募集「そして正義はいつも隣から！」(2023/09/27～2023/10/11)
復刻ピックアップ募集(2024/12/04～2024/12/11)
通常募集
ステータス(初期値/MAX値)
HP
2490
/21956(★3Lv87)
/23720(★4Lv87)
/26465(★5Lv87)
攻撃力
342
/3016(★3Lv87)
/3362(★4Lv87)
/3783(★5Lv87)
防御力
19/105
治癒力
1664
/4556(★3Lv87)
/5021(★4Lv87)
/5603(★5Lv87)
命中値
708
回避値
790
会心値
202
会心ダメージ
200%
防御貫通値
0
安定値
1380
射程距離
650
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
B
屋内戦闘力
D
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
ちょっと失礼するっす
Lv
コスト
効果
1
6
扇形範囲内の敵に対して、攻撃力の
726%
分のダメージ
2
扇形範囲内の敵に対して、攻撃力の
835%
分のダメージ
3
扇形範囲内の敵に対して、攻撃力の
1053%
分のダメージ
4
扇形範囲内の敵に対して、攻撃力の
1162%
分のダメージ
5
扇形範囲内の敵に対して、攻撃力の
1380%
分のダメージ
↑
ノーマルスキル
†
正義実現委員会の連絡網
Lv
効果
1
30秒
毎に、振動特効を
32.9%
加算（
20秒
間）
2
30秒
毎に、振動特効を
34.6%
加算（
20秒
間）
3
30秒
毎に、振動特効を
36.2%
加算（
20秒
間）
4
30秒
毎に、振動特効を
42.8%
加算（
20秒
間）
5
30秒
毎に、振動特効を
44.5%
加算（
20秒
間）
6
30秒
毎に、振動特効を
46.1%
加算（
20秒
間）
7
30秒
毎に、振動特効を
52.7%
加算（
20秒
間）
8
30秒
毎に、振動特効を
54.3%
加算（
20秒
間）
9
30秒
