[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ハルナ_0.png]
[画像タイトル: 014.png]
[画像タイトル: Edit バージョン/ハルナ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_LINE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(ゲヘナ)]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 中級戦術教育BD(ゲヘナ)]
[画像タイトル: 初級戦術教育BD(ゲヘナ)]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: マンドレイクの種]
[画像タイトル: 上級戦術教育BD(ゲヘナ)]
[画像タイトル: 中級戦術教育BD(ゲヘナ)]
[画像タイトル: 編集済みのレヒニッツ写本]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 最上級戦術教育BD(ゲヘナ)]
[画像タイトル: 上級戦術教育BD(ゲヘナ)]
[画像タイトル: 完全なレヒニッツ写本]
[画像タイトル: マンドレイクジュース]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(ゲヘナ)]
[画像タイトル: 初級技術ノート(ゲヘナ)]
[画像タイトル: 中級技術ノート(ゲヘナ)]
[画像タイトル: 初級技術ノート(ゲヘナ)]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 中級技術ノート(ゲヘナ)]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: マンドレイクの種]
[画像タイトル: 上級技術ノート(ゲヘナ)]
[画像タイトル: 中級技術ノート(ゲヘナ)]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: マンドレイクの種]
[画像タイトル: 上級技術ノート(ゲヘナ)]
[画像タイトル: 編集済みのレヒニッツ写本]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 最上級技術ノート(ゲヘナ)]
[画像タイトル: 上級技術ノート(ゲヘナ)]
[画像タイトル: 完全なレヒニッツ写本]
[画像タイトル: マンドレイクジュース]
[画像タイトル: 最上級技術ノート(ゲヘナ)]
[画像タイトル: 完全なレヒニッツ写本]
[画像タイトル: マンドレイクジュース]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_10002.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 応用WB]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 応用WB]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 応用WB]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: 応用WB]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ハルナ（正月）_icon.png]
[画像タイトル: ハルナ（体操服）_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ハルナ_メモリアルロビー.jpg]
[画像タイトル: JWbIP14.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ハルナ_icon.png]
[画像タイトル: 音楽演奏会入場券]
[画像タイトル: 刺繍付きのハンカチ]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-11 (火) 13:37:30
全キャラクター一覧
>
★3キャラクター一覧
>
ハルナ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦・大決戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ハルナ
フルネーム
黒舘
ハルナ
レアリティ
★3
役割
STRIKER
ポジション
BACK
クラス
アタッカー
武器種
SR
遮蔽物
使う
攻撃タイプ
神秘
防御タイプ
重装甲
学園
ゲヘナ学園3年生
部活
美食研究会
年齢
17歳
誕生日
3月1日
身長
163cm
趣味
美味しいもの探し
デザイン
whoisshe
イラスト
whoisshe
CV
田所あずさ
ちびキャラ
各バージョン
一覧
★3
ハルナ
★3
ハルナ（正月）
★3
ハルナ（体操服）
基本情報
ゲヘナ学園所属、美食研究会の部長。
一見すると金持ちのお嬢様のような孤高な気品を思わせるが、
食べ物に関わることになると分別が無くなってしまう熱血属性の美食家。
その食い意地に反して食は細く、あまり量は食べられない方。
好きな食べ物は、もつ鍋やホルモンのような脂っこい食べ物。
入手方法
ピックアップ募集「その味は身命を賭してでも」(2021/03/11～2021/03/18)
復刻ピックアップ募集(2022/02/16～2022/02/23)
通常募集
任務（Hard）
ステータス(初期値/MAX値)
HP
2450
/17449(★3Lv80)
/18851(★4Lv80)
/23322(★5Lv90)
攻撃力
456
/3740(★3Lv80)
/4169(★4Lv80)
/5212(★5Lv90)
防御力
19/106
治癒力
1689
/4386(★3Lv80)
/4834(★4Lv80)
/5815(★5Lv90)
命中値
924
回避値
205
会心値
205
会心ダメージ
200%
防御貫通値
0
安定値
1944
射程距離
750
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
D
屋内戦闘力
B
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
貫くエレガンス
Lv
コスト
効果
1
4
直線範囲内の敵に対して、攻撃力の
506%
分のダメージ/
敵を貫通する度にダメージが
10%
減少（最小で
30%
ダメージまで）
2
直線範囲内の敵に対して、攻撃力の
582%
分のダメージ/
敵を貫通する度にダメージが
10%
減少（最小で
30%
ダメージまで）
3
直線範囲内の敵に対して、攻撃力の
735%
分のダメージ/
敵を貫通する度にダメージが
10%
減少（最小で
30%
ダメージまで）
4
直線範囲内の敵に対して、攻撃力の
811%
分のダメージ/
敵を貫通する度にダメージが
10%
減少（最小で
30%
ダメージまで）
5
3
直線範囲内の敵に対して、攻撃力の
887%
分のダメージ/
敵を貫通する度にダメージが
10%
減少（最小で
30%
ダメージまで）
↑
ノーマルスキル
†
爆発するエキゾチック
Lv
効果
1
30秒
毎に、敵1人に対して攻撃力の
200%
分のダメージ
2
30秒
毎に、敵1人に対して攻撃力の
210%
分のダメージ
3
30秒
毎に、敵1人に対して攻撃力の
220%
