[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ヒビキ_0.png]
[画像タイトル: 削除２－２.jpg]
[画像タイトル: Edit バージョン/ヒビキ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CIRCLE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CIRCLE.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(ミレニアム)]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: 中級戦術教育BD(ミレニアム)]
[画像タイトル: 初級戦術教育BD(ミレニアム)]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級戦術教育BD(ミレニアム)]
[画像タイトル: 中級戦術教育BD(ミレニアム)]
[画像タイトル: 低純度のヴォルフスエック鋼鉄]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: 最上級戦術教育BD(ミレニアム)]
[画像タイトル: 上級戦術教育BD(ミレニアム)]
[画像タイトル: 高純度のヴォルフスエック鋼鉄]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 低純度のヴォルフスエック鋼鉄]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: 最上級技術ノート(ミレニアム)]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 高純度のヴォルフスエック鋼鉄]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: 最上級技術ノート(ミレニアム)]
[画像タイトル: 高純度のヴォルフスエック鋼鉄]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_20000.png]
[画像タイトル: Edit #FavoriteItem]
[画像タイトル: Edit]
[画像タイトル: Gear_Icon_20000.png]
[画像タイトル: エーポッドプロ]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: 応用WB]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: 応用WB]
[画像タイトル: ヴォルフスエックの鉄鉱石]
[画像タイトル: 応用WB]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: 応用WB]
[画像タイトル: ヴォルフスエック鋼鉄の欠片]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ヒビキ（応援団）_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ヒビキ_メモリアルロビー.jpg]
[画像タイトル: bxEu23r.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ヒビキ_icon.png]
[画像タイトル: エイ～ブックレア]
[画像タイトル: エーポッドプロ]
[画像タイトル: ゲームガールカラー復刻版]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit 地形適応力表(爆発)]
[画像タイトル: 市街地.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋外.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋内.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-29 (木) 22:51:33
全キャラクター一覧
>
★3キャラクター一覧
>
ヒビキ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
愛用品
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦・大決戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ヒビキ
フルネーム
猫塚
ヒビキ
レアリティ
★3
役割
SPECIAL
ポジション
BACK
クラス
アタッカー
武器種
MT
遮蔽物
-
攻撃タイプ
爆発
防御タイプ
重装甲
学園
ミレニアムサイエンス
スクール1年生
部活
エンジニア部
年齢
15歳
誕生日
4月2日
身長
154cm
趣味
買い物、コスプレ
デザイン
ミミトケ
イラスト
ミミトケ
CV
名塚佳織
ちびキャラ
各バージョン
一覧
★3
ヒビキ
★1
ヒビキ（応援団）
基本情報
ミレニアムサイエンススクール所属、エンジニア部の部員。
やや社交性に乏しく話し方も朴訥としているが、
その生まれつきの工学的な才能は突出しており不思議なものをいくつも発明している。
彼女の発明品はほとんど欠点がなく、そのすべてが傑作と言っても過言ではないのだが、
必ず一つは変な機能が含まれており、しばしば使い手を当惑させる。
入手方法
ピックアップ募集「閃きよ、この世界を照らして」(2021/09/23～2021/09/29)
復刻ピックアップ募集(2022/10/19～2022/10/26)
通常募集
任務（Hard）
ステータス(初期値/MAX値)
HP
2505
/17089(★3Lv90)
/18463(★4Lv90)
/20599(★5Lv90)
攻撃力
300
/2732(★3Lv90)
/3046(★4Lv90)
/3426(★5Lv90)
防御力
79/437
治癒力
1901
/5322(★3Lv90)
/5866(★4Lv90)
/6545(★5Lv90)
命中値
100
回避値
201
会心値
201
会心ダメージ
200%
防御貫通値
0
安定値
1141
射程距離
1000
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
B
屋内戦闘力
B
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
これは高確率で痛いよ
Lv
コスト
効果
1
4
5つの円形範囲内の敵に対して、攻撃力の
311%
分のダメージ
2
5つの円形範囲内の敵に対して、攻撃力の
358%
分のダメージ
3
5つの円形範囲内の敵に対して、攻撃力の
451%
分のダメージ
4
5つの円形範囲内の敵に対して、攻撃力の
498%
分のダメージ
5
5つの円形範囲内の敵に対して、攻撃力の
591%
分のダメージ
↑
ノーマルスキル
†
火力は十分
火力は十分+
Lv
効果
効果（愛用品T2）
1
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
144％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
158％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
2
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
152％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
165％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
3
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
159％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
173％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
4
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
188％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
205％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
5
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
195％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
213％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
6
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
202％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
221％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
7
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
231％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
252％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
8
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
239％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
260％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
9
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
246％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
268％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
10
20秒
毎に、HPが最も低い敵を中心にした円形範囲内の敵に攻撃力の
275％
分のダメージ
20秒
毎に、HPが最も低い敵を中心とした5つの円形範囲内の敵に対して、
攻撃力の
300％
分のダメージ
（対象の現在のHPに比例してダメージが
1～2倍
に変更）
（対象のHPが少ないほどダメージが大きくなります）
同じ対象にダメージを与える度にダメージが
45%
減少
（最少で
10%
ダメージまで）
↑
パッシブスキル
†
これは危険だよ
これは危険だよ+
Lv
効果
効果（固有武器★2）
1
会心ダメージ率を
14%
増加
安定値を
500
増加/
さらに会心ダメージ率を
14%
増加
2
会心ダメージ率を
14.7%
増加
安定値を
525
増加/
さらに会心ダメージ率を
14.7%
増加
3
会心ダメージ率を
15.4%
増加
安定値を
550
増加/
さらに会心ダメージ率を
15.4%
増加
4
会心ダメージ率を
18.2%
増加
安定値を
650
増加/
さらに会心ダメージ率を
18.2%
増加
5
会心ダメージ率を
18.9%
増加
安定値を
675
増加/
さらに会心ダメージ率を
18.9%
増加
6
会心ダメージ率を
19.6%
増加
安定値を
700
増加/
さらに会心ダメージ率を
19.6%
増加
7
会心ダメージ率を
22.4%
増加
安定値を
800
増加/
さらに会心ダメージ率を
22.4%
増加
8
会心ダメージ率を
23.1%
増加
安定値を
825
増加/
さらに会心ダメージ率を
23.1%
増加
9
会心ダメージ率を
23.8%
増加
安定値を
850
増加/
さらに会心ダメージ率を
23.8%
増加
10
会心ダメージ率を
26.6%
増加
安定値を
950
増加/
さらに会心ダメージ率を
26.6%
増加
↑
サブスキル
†
役に立つといいけど
Lv
効果
1
味方の会心ダメージ率を
9.1%
増加
2
味方の会心ダメージ率を
9.5%
増加
3
味方の会心ダメージ率を
10%
増加
4
味方の会心ダメージ率を
11.8%
増加
5
味方の会心ダメージ率を
12.3%
増加
6
味方の会心ダメージ率を
12.7%
増加
7
味方の会心ダメージ率を
14.5%
増加
8
味方の会心ダメージ率を
15%
増加
9
味方の会心ダメージ率を
15.5%
増加
10
味方の会心ダメージ率を
17.3%
増加
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x12
3
500,000
x12
x18
x13
x33
4
3,000,000
x12
x18
x10
x25
5
10,000,000
x8
x18
x7
x20
↑
その他スキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
5,000
x5
3
7,500
x8
4
60,000
x5
x12
x4
5
90,000
x8
x3
x14
6
300,000
x5
x12
x11
x20
7
450,000
x8
x3
x17
8
1,500,000
x8
x12
x5
x7
9
2,400,000
x12
x7
x12
10
4,000,000
x1
↑
固有武器
†
ファンシーライト
詳細
ヒビキが愛用する迫撃砲。
日々の実験でも時々使われており、砲弾以外にも色々と発射していたりする。
限界突破
★2
パッシブスキルが「
これは危険だよ+
」に変化（安定値増加を追加）
★3
市街地戦への地形別戦闘力をSSに強化
★4
今後のアップデートで追加予定です
★5
今後のアップデートで追加予定です
Lv.1
Lv.30
Lv.40
Lv.50
Lv.60
Lv.70
攻撃力
60
217
271
325
-
-
最大HP
268
974
1217
1460
-
-
治癒力
105
381
476
571
-
-
↑
愛用品
†
マイスターのゴーグル
詳細
何度も改造されたヒビキ専用のゴーグル。
機能だけでなく、見た目もお気に入りだという。
基本情報
T1
攻撃力 200
命中値 400
T2
ノーマルスキルが「
火力は十分+
」に変化
強化
絆ランク
素材
クレジットポイント
T1
15
-
-
T2
20
500,000
x4
x80
x25
↑
能力解放
†
Lv.10
Lv.20
Lv.25
最大HP
+305
+610
+763
攻撃力
+45
+90
+112
治癒力
+90
+181
+226
↑
必要素材
†
＋クリックで展開
Lv
素材
クレジットポイント
1-5
100,000
(500,000)
x2(10)
x10(50)
6-10
100,000
(500,000)
x2(10)
x15(75)
11-15
100,000
(500,000)
x2(10)
x20(100)
16-20
200,000
(1,000,000)
x4(20)
x6(30)
21-25
200,000
(1,000,000)
x4(20)
x8(40)
※括弧内は5Lv分合計
↑
絆ランクボーナス
†
＋クリックで展開
RANK
絆ランクボーナス
2-5
攻撃力+2
6-10
攻撃力+4
11-15
攻撃力+5 最大HP+42
16-20
攻撃力+6 最大HP+50
～20合計
攻撃力+83 最大HP+460
21-30
攻撃力+2 最大HP+9
31-40
攻撃力+2 最大HP+13
41-50
攻撃力+4 最大HP+22
合計
攻撃力+163 最大HP+900
↑
ボーナス対象
†
対象
絆20合計ボーナス
絆50合計ボーナス
攻撃力+223 最大HP+445
攻撃力+433、HP+865
↑
絆ストーリー
†
クリックで絆ストーリー一覧を開く
EP
タイトル
解放
絆RANK
報酬
1
マイスターって呼んで
2
青輝石x20
2
心に打ち上がる炎
3
青輝石x40
3
あなたの心にストライク
5
青輝石x60
4
もしも夢を見られるのなら、あなたと共に一日を
6
青輝石x80
5
雨が降る日のセンチメンタル
8
青輝石x100
6
この夜をあなたに！
9
青輝石x120,メモリアルロビー解禁
7
愛着のかたち
15
青輝石x120
↑
メモリアルロビー
†
BGM
：Midnight Trip
クリックでメモリアルロビー画像を開く
メモロビアニメーションを開く　(サイズは7MB。 開くと読み込みます)
メモロビ制作スタッフ
スタッフ
役割
コンテンツ
Yang Young gee
シナリオライター
メモリアルロビー ヒビキ
Kokosando
イラストレーター
メモリアルロビー ヒビキ
LM5
アニメーター
メモリアルロビー ヒビキ
Kim SunTae
FX協力
メモリアルロビー ヒビキ
テーブル/コンテンツ担当スタッフ
↑
贈り物
†
クリックで好きな贈り物一覧を開く
___
生徒
___
________
高級贈り物
________
_______________________________
通常贈り物
_______________________________
効果特大
効果大
効果大
効果中
ヒビキ
↑
ボイス
†
クリックでセリフ一覧を開く
一般
獲得
今頃だと予測して、待ってた。先生が私の名前を呼んでくれる…今この瞬間を。
カフェ1
「今少し時間と予算をいただければ」…？自分の能力不足に対する言い訳に過ぎない。
カフェ2
与えられた時間と予算内でベストな結果を出すこと。それがマイスターというもの。
カフェ3
ここに先生の銅像を建てるのはどうかな？手足の間接が動くように作れるよ。
カフェ4
ん…内部のいくつかの項目から修理と改善事項を発見…え？修理しちゃダメ？
カフェ5
お望みなら、来た人がびっくりするような罠を設置してあげるけど。うん？ダメって？
絆ランク増加1
もし今、私の先生に対する心を検査したら、きっと、陽性だと思う。
絆ランク増加2
これからの私はどこでなにをするんだろう。
誰もわからないと思うけど、私はわかってる。先生と、一緒に行く。
絆ランク増加3
不思議だね。記憶機能に問題でもあるのかな？
言いたいことがたくさんあったのに、先生の顔を見ると思い出せなくなるの……。
絆ランク増加4
運命なんて信じてない。でも、先生に出会ったその瞬間から…運命に感謝するようになったの。
生徒強化1
完成は無い。それを追求する過程があるだけ。マイスターなら誰もがそう。
生徒強化2
要約すると…私、強くなった。
生徒強化3
先生と一緒なら、意欲が湧く。もっと、もっとたくさん教えて。
生徒強化4
戦闘が好きなわけではないけど、私も先生の力になりたい。
固有武器解放
もっとたくさんの物が作りたい。
そうして……もっと先生の力になりたい。
戦闘
ノーマルスキル1
支援射撃、開始。
EXスキル1
敵の位置を確認、発砲準備完了。
EXスキル2
力がみなぎってる、行こう。
EXスキル3
今、装填してるのは…怒り。
EXスキル（フィールド）1
それなりに、大変なことになるかも？
EXスキル（フィールド）2
ターゲットへ直撃、成功。
EXスキル（フィールド）3
先生の敵は、許さない。
ロビー
ログイン1
おはよう先生。今日の任務リストを机に置いておいたの。確認してほしい。
ログイン2
ん…今の先生の任務進行は多少、非効率的な状態だと思う。
もっといいやり方を探してみる。
雑談1
こうやって先生と一緒にいると…ふふ…楽しい。
雑談2
先生、どう？私の装備たち…役に立ったかな？
雑談3
有用な物を作ることが楽しいかって？それもあるけど…
これは趣味じゃなく、生き様だよ。
雑談4
整備は好き。死んでいた機械の心臓がまた動き出す時の、何かが叶えられたっていう、その感覚を愛してる。
雑談5
（先生のその笑顔が…私にとっては最高のモチベーションなの）
メモリアルロビー雑談1
ありがとう、先生。この風景は、先生のおかげで叶ってるの。
美しいでしょ？間に合ってよかった。
メモリアルロビー雑談2
うん？どうしてそんなに…頑張ったのかって？
ミレニアムの生徒たちが、安全に。輝く夜道が歩けるようにしてあげたかったから。
メモリアルロビー雑談3
私にできることは…これくらいしかないから。
