[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ミチル_2.png]
[画像タイトル: michiru.jpg]
[画像タイトル: Edit バージョン/ミチル]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BURNNIG.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CH0113_EXTRAPASSIVESKILL.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: 円盤型ペンダントの欠片]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 摩耗したファイストス円盤]
[画像タイトル: 壊れた円盤型ペンダント]
[画像タイトル: 最上級戦術教育BD(百鬼夜行)]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: 修復途中の円盤型ペンダント]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: 円盤型ペンダントの欠片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: 円盤型ペンダントの欠片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 摩耗したファイストス円盤]
[画像タイトル: 壊れた円盤型ペンダント]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: 修復途中の円盤型ペンダント]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 完全なファイストス円盤]
[画像タイトル: 修復途中の円盤型ペンダント]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0113.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: ファイストス円盤の欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたファイストス円盤]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ミチル_メモリアルロビー.jpg]
[画像タイトル: 2XbV1nd.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ミチル_icon.png]
[画像タイトル: レトロな卵の工芸品]
[画像タイトル: 埋蔵金の地図]
[画像タイトル: 世界で最も無駄な絡繰りボックス]
[画像タイトル: 高級そうな欲望のつぼ]
[画像タイトル: ぜんまい式オルゴール]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Newyearpath_01_Light.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-25 (火) 19:53:24
全キャラクター一覧
>
★1キャラクター一覧
>
ミチル
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ミチル
フルネーム
千鳥
ミチル
レアリティ
★1
役割
STRIKER
ポジション
FRONT
クラス
アタッカー
武器種
SG
遮蔽物
-
攻撃タイプ
神秘
防御タイプ
軽装備
学園
百鬼夜行連合学院3年生
部活
忍術研究部
年齢
17歳
誕生日
2月22日
身長
153cm
趣味
新しい忍術の考案、
動画づくり
デザイン
seicoh
イラスト
seicoh
CV
水橋かおり
ちびキャラ
各バージョン
一覧
★1
ミチル
基本情報
百鬼夜行連合学院所属、基本的にいつも根拠のない自信に満ち溢れている忍術研究部の部長。
映画もアニメもグッズも嗜む忍者オタクで、それが高じて「忍術研究部」を設立し、
動画チャンネル「少女忍法帖ミチルっち」を立ち上げて動画投稿もするようになった。
キヴォトス全域に忍者の良さを知ってもらうため、
彼女は今日も忍術研究部の部員たちと共にあちこちを駆け回っている。
入手方法
イベント「
不忍ノ心
」(2022/04/27～2022/05/11)
イベント「
【復刻】不忍の心
」(2023/04/12～2023/04/19)
イベントストーリー「不忍の心」(2024/05/08～)
ステータス(初期値/MAX値)
HP
2223
/24466(★1Lv78)
/27402(★3Lv78)
/29604(★4Lv78)
/36538(★5Lv87)
攻撃力
276
/2213(★1Lv78)
/2700(★3Lv78)
/3010(★4Lv78)
/3734(★5Lv87)
防御力
118/633
治癒力
1416
/3620(★1Lv78)
/4254(★3Lv78)
/4688(★4Lv78)
/5603(★5Lv87)
命中値
607
回避値
197
会心値
202
会心ダメージ
200%
防御貫通値
0
安定値
1976
射程距離
450
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
B
屋外戦闘力
B
屋内戦闘力
B
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
ミチル流忍法っ！！
Lv
コスト
効果
1
5
花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の
501％
分のダメージ/
さらに攻撃力の
149％
分の
火傷
持続ダメージを付与（
20秒
間）
2
花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の
577％
分のダメージ/
さらに攻撃力の
149％
分の
火傷
持続ダメージを付与（
20秒
間）
3
花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の
652％
分のダメージ/
さらに攻撃力の
172％
分の
火傷
持続ダメージを付与（
20秒
間）
4
花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の
727％
分のダメージ/
さらに攻撃力の
172％
分の
火傷
持続ダメージを付与（
20秒
間）
5
花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の
803％
分のダメージ/
さらに攻撃力の
194％
分の
火傷
持続ダメージを付与（
20秒
間）
↑
ノーマルスキル
†
捌け、地獄忍魔刀！
Lv
効果
1
30秒
毎に、攻撃力を
21.4％
増加（
20秒
間）
2
30秒
毎に、攻撃力を
22.4％
増加（
20秒
間）
3
30秒
毎に、攻撃力を
23.5％
増加（
20秒
間）
4
30秒
毎に、攻撃力を
22.4％
増加（
20秒
間）
5
30秒
毎に、攻撃力を
28.8％
増加（
20秒
間）
6
30秒
毎に、攻撃力を
29.9％
増加（
20秒
間）
7
30秒
毎に、攻撃力を
34.2％
増加（
20秒
間）
8
30秒
毎に、攻撃力を
35.3％
増加（
20秒
間）
9
30秒
毎に、攻撃力を
36.3％
増加（
20秒
間）
10
30秒
毎に、攻撃力を
40.6％
増加（
20秒
間）
↑
パッシブスキル
†
見て見て、自作の忍術！
見て見て、自作の忍術！+
Lv
効果
効果（固有武器★2）
1
会心ダメージ率を
14%
増加
攻撃力を
332
増加/
さらに会心ダメージ率を
14%
増加
2
会心ダメージ率を
14.7%
増加
攻撃力を
348
増加/
さらに会心ダメージ率を
14.7%
増加
3
会心ダメージ率を
15.4%
増加
攻撃力を
365
増加/
さらに会心ダメージ率を
15.4%
増加
4
会心ダメージ率を
18.2%
増加
攻撃力を
431
増加/
さらに会心ダメージ率を
18.2%
増加
5
会心ダメージ率を
18.9%
増加
攻撃力を
448
増加/
さらに会心ダメージ率を
18.9%
増加
6
会心ダメージ率を
19.6%
増加
攻撃力を
464
増加/
さらに会心ダメージ率を
19.6%
