[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: モミジ_2.png]
[画像タイトル: モミジSD.png]
[画像タイトル: Edit バージョン/モミジ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CIRCLE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(レッドウィンター)]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 中級戦術教育BD(レッドウィンター)]
[画像タイトル: 初級戦術教育BD(レッドウィンター)]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級戦術教育BD(レッドウィンター)]
[画像タイトル: 中級戦術教育BD(レッドウィンター)]
[画像タイトル: 摩耗したニムルドレンズ]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 最上級戦術教育BD(レッドウィンター)]
[画像タイトル: 上級戦術教育BD(レッドウィンター)]
[画像タイトル: 完全なニムルドレンズ]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(レッドウィンター)]
[画像タイトル: 初級技術ノート(レッドウィンター)]
[画像タイトル: 中級技術ノート(レッドウィンター)]
[画像タイトル: 初級技術ノート(レッドウィンター)]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 中級技術ノート(レッドウィンター)]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級技術ノート(レッドウィンター)]
[画像タイトル: 中級技術ノート(レッドウィンター)]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級技術ノート(レッドウィンター)]
[画像タイトル: 摩耗したニムルドレンズ]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 最上級技術ノート(レッドウィンター)]
[画像タイトル: 上級技術ノート(レッドウィンター)]
[画像タイトル: 完全なニムルドレンズ]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 最上級技術ノート(レッドウィンター)]
[画像タイトル: 完全なニムルドレンズ]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: 図書館利用規則第7号.png]
[画像タイトル: Edit #FavoriteItem]
[画像タイトル: Edit]
[画像タイトル: Gear_Icon_13013.png]
[画像タイトル: 禁断の愛～許されないからこそ美しく～]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 応用WB]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 応用WB]
[画像タイトル: ニムルドレンズの欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたニムルドレンズ]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: モミジ_メモリアルロビー.jpg]
[画像タイトル: GSqcDEX.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: モミジ_icon.png]
[画像タイトル: ストリートオブヤンキー1巻]
[画像タイトル: 禁断の愛～許されないからこそ美しく～]
[画像タイトル: ゲームマガジン「ヒットガールズ」]
[画像タイトル: チェリーローズカラーのグロス]
[画像タイトル: 『銃 可愛い 青春』]
[画像タイトル: 跳躍探偵ウサギ～霧に包まれた温泉での滑落～]
[画像タイトル: 古典の詩集]
[画像タイトル: 百科事典]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Event059_Chair.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Variation]
[画像タイトル: Edit]
[画像タイトル: モミジ_圧縮.png]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-04-14 (月) 08:09:40
全キャラクター一覧
>
★2キャラクター一覧
>
モミジ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
愛用品
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
立ち絵バリエーション
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
モミジ
フルネーム
秋泉
モミジ
レアリティ
★2
役割
STRIKER
ポジション
BACK
クラス
アタッカー
武器種
RL
遮蔽物
使う
攻撃タイプ
振動
防御タイプ
重装甲
学園
レッドウィンター
連邦学園1年生
部活
知識解放戦線
年齢
15歳
誕生日
8月7日
身長
135cm
趣味
漫画収集
デザイン
キキ
イラスト
キキ
CV
大亀あすか
ちびキャラ
各バージョン
一覧
★2
モミジ
基本情報
レッドウィンター連邦学園所属、「知識解放戦線」の文学少女。
パンとおやつのために戦うレッドウィンターの他生徒とは違い、
彼女は図書館により多くの蔵書を置くために戦っている。
かなりのオタクで、事務局に出す図書購入申請の大半は個人的な理由によるもの。
そのため、ほとんどの申請は却下されているが、それでもモミジは諦めずに申請し続けている。
入手方法
ピックアップ募集「ペンは銃より強し！」(2023/08/23～2023/09/06)
復刻ピックアップ募集(2024/08/07～2024/08/14)
通常募集
ステータス(初期値/MAX値)
HP
2330
/16264(★2Lv90)
/17348(★3Lv90)
/18742(★4Lv90)
/20911(★5Lv90)
攻撃力
996
/9053(★2Lv90)
/10041(★3Lv90)
/11193(★4Lv90)
/12592(★5Lv90)
防御力
19/108
治癒力
1525
/4266(★2Lv90)
/4663(★3Lv90)
/5139(★4Lv90)
/5734(★5Lv90)
命中値
759
回避値
197
会心値
202
会心ダメージ
200%
防御貫通値
0
安定値
984
射程距離
850
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
A
屋外戦闘力
A
屋内戦闘力
D
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
図書館ではお静かに
Lv
コスト
効果
1
4
円形範囲内の敵に対して、攻撃力の
187%
分のダメージ
2
円形範囲内の敵に対して、攻撃力の
215%
分のダメージ
3
円形範囲内の敵に対して、攻撃力の
272%
分のダメージ
4
円形範囲内の敵に対して、攻撃力の
300%
分のダメージ
5
円形範囲内の敵に対して、攻撃力の
356%
分のダメージ
↑
ノーマルスキル
†
知識の力
知識の力+
Lv
効果
効果(愛用品T2)
1
30秒
毎に、攻撃力を
11.8%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
2
30秒
毎に、攻撃力を
12.4%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
3
30秒
毎に、攻撃力を
13%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
4
30秒
毎に、攻撃力を
15.4%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
5
30秒
毎に、攻撃力を
16%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
6
30秒
毎に、攻撃力を
16.6%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
7
30秒
毎に、攻撃力を
18.9%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
8
30秒
毎に、攻撃力を
19.5%
増加（
20秒
間）
30秒
毎に、攻撃力を
21.3
%
、会心値を
21.3
%
増加（
20秒
間）
9
30秒
毎に、攻撃力を
20.1%
増加（
20秒
間）
30秒
毎に、攻撃力を
?%
、会心値を
?%
増加（
20秒
間）
10
30秒
毎に、攻撃力を
22.5%
増加（
20秒
間）
30秒
毎に、攻撃力を
24.6%
、会心値を
24.6%
増加（
20秒
間）
↑
パッシブスキル
†
コレクターの熱量
コレクターの熱量+
Lv
効果
効果（固有武器★2）
1
攻撃力を
14%
増加
会心値を
100
増加/
さらに攻撃力を
14%
増加
2
攻撃力を
14.7%
増加
会心値を
105
増加/
さらに攻撃力を
14.7%
増加
3
攻撃力を
15.4%
増加
会心値を
110
増加/
さらに攻撃力を
15.4%
増加
4
攻撃力を
18.2%
増加
会心値を
130
増加/
さらに攻撃力を
18.2%
増加
5
攻撃力を
18.9%
増加
会心値を
135
増加/
さらに攻撃力を
18.9%
増加
6
攻撃力を
19.6%
増加
会心値を
140
増加/
さらに攻撃力を
19.6%
増加
7
攻撃力を
22.4%
増加
会心値を
160
増加/
さらに攻撃力を
22.4%
増加
8
攻撃力を
23.1%
増加
会心値を
165
増加/
さらに攻撃力を
23.1%
増加
9
攻撃力を
23.8%
増加
会心値を
170
増加/
さらに攻撃力を
23.8%
増加
10
攻撃力を
26.6%
増加
会心値を
190
増加/
さらに攻撃力を
26.6%
増加
↑
サブスキル
†
旅の始まり
Lv
効果
1
戦術入場時、攻撃力を
9.4%
増加
2
戦術入場時、攻撃力を
9.8%
増加
3
戦術入場時、攻撃力を
10.3%
増加
4
戦術入場時、攻撃力を
12.2%
増加
5
戦術入場時、攻撃力を
12.7%
増加
6
戦術入場時、攻撃力を
13.1%
増加
7
戦術入場時、攻撃力を
15%
増加/
通常攻撃時、円形範囲の半径が
1.5
倍に増加
8
戦術入場時、攻撃力を
15.5%
増加/
通常攻撃時、円形範囲の半径が
1.5
倍に増加
9
戦術入場時、攻撃力を
16%
増加/
通常攻撃時、円形範囲の半径が
1.5
倍に増加
10
戦術入場時、攻撃力を
17.8%
増加/
通常攻撃時、円形範囲の半径が
1.5
倍に増加
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x17
3
500,000
x12
x18
x14
x30
4
3,000,000
x12
x18
x9
x26
5
10,000,000
x8
x18
x12
x20
↑
その他スキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
5,000
x5
3
7,500
x8
4
60,000
x5
x12
x5
5
90,000
x8
x4
x13
6
300,000
x5
x12
x10
x16
7
450,000
x8
x3
x15
8
1,500,000
x8
x12
x4
x8
9
2,400,000
x12
x7
x14
10
4,000,000
x1
↑
固有武器
†
図書館利用規則第7号
詳細
モミジが使用する携帯型RPG。
ちゃんとルールを守れば、この「規則」が発動されることはないはずだ。
限界突破
★2
パッシブスキルが「
コレクターの熱量+
」に変化（会心値増加を追加）
★3
屋内戦への地形別戦闘力をBに強化
★4
今後のアップデートで追加予定です
★5
今後のアップデートで追加予定です
Lv.1
Lv.30
Lv.40
Lv.50
Lv.60
Lv.70
攻撃力
358
1301
1627
1952
-
-
最大HP
444
1615
2019
2423
-
-
↑
愛用品
†
限定版復刻コレクション
詳細
限定復刻された不朽の名作の全巻セット。
誰がなんと言おうとも、自分にとって大切なものはその気持ちを持ち続けて良いのだ。
基本情報
T1
会心値 250
T2
ノーマルスキルが「
知識の力+
」に変化
強化
絆ランク
素材
クレジットポイント
T1
20
-
-
T2
25
500,000
x4
x80
x25
↑
能力解放
†
Lv.10
Lv.20
Lv.25
最大HP
+309
+619
+774
攻撃力
+165
+330
+412
治癒力
+80
+159
+199
↑
必要素材
†
＋クリックで展開
Lv
素材
クレジットポイント
1-5
100,000
(500,000)
x2(10)
x10(50)
6-10
100,000
(500,000)
x2(10)
x15(75)
11-15
100,000
(500,000)
x2(10)
x20(100)
16-20
200,000
(1,000,000)
x4(20)
x6(30)
21-25
200,000
(1,000,000)
x4(20)
x8(40)
※括弧内は5Lv分合計
↑
絆ランクボーナス
†
＋クリックで展開
RANK
絆ランクボーナス
2-5
攻撃力+9
6-10
攻撃力+14
11-15
攻撃力+18 最大HP+42
16-20
攻撃力+23 最大HP+51
～20合計
攻撃力+311 最大HP+465
21-30
攻撃力+6 最大HP+8
31-40
攻撃力+8 最大HP+13
41-50
攻撃力+14 最大HP+21
合計
攻撃力+591 最大HP+885
↑
絆ストーリー
†
クリックで絆ストーリー一覧を開く
EP
タイトル
解放
絆RANK
