[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: レイサ.png]
[画像タイトル: レイサちびキャラ.png]
[画像タイトル: Edit バージョン/レイサ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_FAN.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_DOTHEAL.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_DUALBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_PROVOKE.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: エーテルの粉]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: エーテルの欠片]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: エーテルの結晶]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: エーテルの粉]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: エーテルの欠片]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: エーテルの欠片]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: エーテルの結晶]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0167.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの欠片]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの欠片]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: レイサ_メモリアルロビー.jpg]
[画像タイトル: 2PbXCVk.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: レイサ_icon.png]
[画像タイトル: ミルフィーユの正統派パフェ]
[画像タイトル: エイ～ブックレア]
[画像タイトル: エーポッドプロ]
[画像タイトル: 高級なクッキーセット]
[画像タイトル: ゲームガールカラー復刻版]
[画像タイトル: MX-レーションC型デザート風味]
[画像タイトル: 抹茶味の瓶ラムネ]
[画像タイトル: 大きなホールケーキ]
[画像タイトル: ぜんまい式オルゴール]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Seahouse_01_Table_02.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: レイサ_icon.png]
[画像タイトル: 表情差分1-min_3.jpg]
[画像タイトル: 表情差分2 -min.jpg]
[画像タイトル: 表情差分3 (1)-min_1.jpg]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: reisa's gun-min_1.jpg]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-17 (土) 02:19:35
全キャラクター一覧
>
★3キャラクター一覧
>
レイサ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
レイサ
フルネーム
宇沢
レイサ
レアリティ
★3
役割
STRIKER
ポジション
FRONT
クラス
タンク
武器種
SG
遮蔽物
-
攻撃タイプ
貫通
防御タイプ
重装甲
学園
トリニティ総合学園1年生
部活
トリニティ自警団
年齢
15歳
誕生日
5月31日
身長
153cm
趣味
決闘申込み、自己紹介
デザイン
kokosando
イラスト
kokosando
CV
根本京里
ちびキャラ
各バージョン
一覧
★3
レイサ
基本情報
トリニティのあちこちに出没し、治安の維持活動をしているトリニティ総合学園所属、自警団のメンバー。
掴みどころのない事を言うため、いたずら通報だと思われる時もあるが、誰より真剣に自警団活動をしているのだとか。
名乗り上げる口上が、毎回少しずつ変わる模様。
入手方法
ピックアップ募集「挑戦は甘い夢の外で！」(2023/05/10～2023/05/17)
復刻ピックアップ募集(2024/04/11～2024/04/17)
通常募集
ステータス(初期値/MAX値)
HP
3049
/46121(★3Lv90)
/49827(★4Lv90)
/55592(★5Lv90)
攻撃力
209
/1898(★3Lv90)
/2115(★4Lv90)
/2380(★5Lv90)
防御力
163/897
治癒力
1797
/5028(★3Lv90)
/5542(★4Lv90)
/6184(★5Lv90)
命中値
655
回避値
217
会心値
218
会心ダメージ
200%
防御貫通値
0
安定値
1812
射程距離
350
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
D
屋外戦闘力
B
屋内戦闘力
S
装備（装着可能Lv）
Lv1
シューズ
Lv10
バッグ
Lv20
お守り
↑
スキル
†
↑
EXスキル
†
挑戦状を受け取ってください！
Lv
コスト
効果
1
3
扇形範囲内の敵に対して、攻撃力の
372%
分のダメージ
自身の弱体状態を
1つ
解除
2
扇形範囲内の敵に対して、攻撃力の
428%
分のダメージ
自身の弱体状態を
1つ
解除
3
扇形範囲内の敵に対して、攻撃力の
539%
分のダメージ
自身の弱体状態を
1つ
解除
4
扇形範囲内の敵に対して、攻撃力の
595%
分のダメージ
自身の弱体状態を
1つ
解除
5
扇形範囲内の敵に対して、攻撃力の
707%
分のダメージ
自身の弱体状態を
1つ
解除
↑
ノーマルスキル
†
勝利のポーズ！
Lv
効果
1
50秒
毎に、治癒力の
22.7%
分の
持続回復
を付与(
30秒
間)
2
50秒
毎に、治癒力の
23.8%
分の
持続回復
を付与(
30秒
間)
3
50秒
毎に、治癒力の
24.9%
分の
持続回復
を付与(
30秒
間)
4
50秒
毎に、治癒力の
29.5%
分の
持続回復
を付与(
30秒
間)
5
50秒
毎に、治癒力の
30.6%
分の
持続回復
を付与(
30秒
間)
6
50秒
毎に、治癒力の
31.7%
分の
持続回復
を付与(
30秒
間)
7
50秒
毎に、治癒力の
36.3%
分の
持続回復
を付与(
30秒
間)
8
50秒
毎に、治癒力の
37.4%
分の
持続回復
を付与(
30秒
間)
9
50秒
毎に、治癒力の
38.6%
分の
持続回復
を付与(
30秒
間)
10
50秒
毎に、治癒力の
43.1%
分の
持続回復
を付与(
30秒
間)
↑
パッシブスキル
†
一日中でも！
一日中でも！+
Lv
効果
効果（固有武器★2）
1
攻撃力を
11.2%
増加、HPを
11.2%
増加
攻撃力を
165
、HPを
3485
増加/
さらに攻撃力を
11.2%
増加、HPを
11.2%
増加
2
攻撃力を
11.4%
増加、HPを
11.4%
増加
攻撃力を
169
、HPを
3572
増加/
さらに攻撃力を
11.4%
増加、HPを
11.4%
増加
3
攻撃力を
11.7%
増加、HPを
11.7%
増加
攻撃力を
173
、HPを
3659
増加/
さらに攻撃力を
11.7%
増加、HPを
11.7%
増加
4
攻撃力を
12.8%
増加、HPを
12.8%
増加
攻撃力を
189
、HPを
4007
増加/
さらに攻撃力を
12.8%
増加、HPを
12.8%
増加
5
攻撃力を
13.1%
増加、HPを
13.1%
増加
攻撃力を
193
、HPを
4094
増加/
さらに攻撃力を
13.1%
増加、HPを
13.1%
増加
6
攻撃力を
13.4%
増加、HPを
13.4%
増加
攻撃力を
197
、HPを
4181
増加/
さらに攻撃力を
13.4%
増加、HPを
13.4%
増加
7
攻撃力を
14.5%
増加、HPを
14.5%
増加
攻撃力を
214
、HPを
4530
増加/
さらに攻撃力を
14.5%
増加、HPを
14.5%
増加
8
攻撃力を
14.8%
増加、HPを
14.8%
増加
攻撃力を
218
、HPを
4617
増加/
さらに攻撃力を
14.8%
増加、HPを
14.8%
増加
9
攻撃力を
15.1%
増加、HPを
15.1%
増加
攻撃力を
222
、HPを
4704
増加/
さらに攻撃力を
