[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: アズサ_0.png]
[画像タイトル: 10740CD9-A7F4-4C67-841D-36E63E9B2B8C.jpeg]
[画像タイトル: Edit バージョン/アズサ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATDEBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_EXTRADAMAGE.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なネブラディスク]
[画像タイトル: エーテルの結晶]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なネブラディスク]
[画像タイトル: エーテルの結晶]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なネブラディスク]
[画像タイトル: エーテルの結晶]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_10019.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 応用WB]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 応用WB]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: アズサ（水着）]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: アズサ_メモリアルロビー.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: アズサ_icon.png]
[画像タイトル: おしゃれなくし]
[画像タイトル: リボンのついた熊のぬいぐるみ]
[画像タイトル: ウェーブキャットの枕]
[画像タイトル: ペロロの腹筋ローラー]
[画像タイトル: 刺繍付きのハンカチ]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: 表情差分1.jpg]
[画像タイトル: 表情差分2.jpg]
[画像タイトル: 表情差分3.jpg]
[画像タイトル: 表情差分4.jpg]
[画像タイトル: 表情差分5.jpg]
[画像タイトル: 表情差分6.jpg]
[画像タイトル: 表情差分(ᓀ‸ᓂ).jpg]
[画像タイトル: 表情差分8.jpg]
[画像タイトル: 表情差分9.jpg]
[画像タイトル: Edit #Variation]
[画像タイトル: Edit]
[画像タイトル: アズサ（体操服）.png]
[画像タイトル: アズサ（スクール水着）.png]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #m5b5ac26]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-16 (金) 08:16:28
全キャラクター一覧
>
★3キャラクター一覧
>
アズサ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦&大決戦
戦術対抗戦
編成考察
小ネタ
立ち絵バリエーション
使用している銃の元ネタ
公式ツイッターの紹介
PV
コメントフォーム
基本情報
†
画像
プロフィール
名前
アズサ
フルネーム
白洲
アズサ
レアリティ
★3
役割
STRIKER
ポジション
MIDDLE
クラス
アタッカー
武器種
AR
遮蔽物
使う
攻撃タイプ
爆発
防御タイプ
重装甲
学園
トリニティ総合学園2年生
部活
補習授業部
年齢
16歳
誕生日
12月26日
身長
149cm
趣味
なし
デザイン
NAMYO
イラスト
NAMYO
CV
種田梨沙
ちびキャラ
各バージョン
一覧
★3
アズサ
★3
アズサ（水着）
基本情報
トリニティ総合学園所属、補習授業部の氷の魔女。
本来はある学校を中退した身だったが、諸事情でトリニティへと通うことになり、再び学業にいそしんでいる。
性根は寂しがり屋だが、他の人に迷惑をかけることを恐れて自発的に距離を置いており、
補習授業部の他の生徒達から心配されている。
入手方法
ピックアップ募集「花散らす仮面舞踏会」(2021/05/27～2021/06/10)
復刻ピックアップ募集(2022/06/08～2022/06/22)
復刻ピックアップ募集(2023/07/12～2023/07/17)
通常募集
ショップ（総力戦レア）
ステータス(初期値/MAX値)
HP
2496
/22686(★3Lv90)
/24509(★4Lv90)
/27345(★5Lv90)
攻撃力
231
/2101(★3Lv90)
/2342(★4Lv90)
/2635(★5Lv90)
防御力
19/105
治癒力
1661
/4646(★3Lv90)
/5121(★4Lv90)
/5714(★5Lv90)
命中値
706
回避値
792
会心値
201
会心ダメージ
200%
防御貫通値
0
安定値
1384
射程距離
650
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
B
屋外戦闘力
D
屋内戦闘力
S
装備（装着可能Lv）
Lv1
グローブ
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
intulit mortem
Lv
コスト
効果
1
5
敵1人に対して、攻撃力の
1065%
分のダメージ
2
敵1人に対して、攻撃力の
1224%
分のダメージ
3
敵1人に対して、攻撃力の
1545%
分のダメージ
4
敵1人に対して、攻撃力の
1704%
分のダメージ
5
敵1人に対して、攻撃力の
2023%
分のダメージ
↑
ノーマルスキル
†
sagitta mortis
Lv
効果
1
30秒毎に、敵1人に対して攻撃力の
292%
分のダメージ/
防御力を
18.9%
減少（
20秒
間）
2
30秒毎に、敵1人に対して攻撃力の
307%
分のダメージ/
防御力を
18.9%
減少（
20秒
間）
3
30秒毎に、敵1人に対して攻撃力の
321%
分のダメージ/
防御力を
18.9%
減少（
20秒
間）
4
30秒毎に、敵1人に対して攻撃力の
351%
分のダメージ/
防御力を
20.8%
減少（
20秒
間）
5
30秒毎に、敵1人に対して攻撃力の
365%
分のダメージ/
防御力を
20.8%
減少（
20秒
間）
6
30秒毎に、敵1人に対して攻撃力の
380%
分のダメージ/
防御力を
20.8%
減少（
20秒
間）
7
30秒毎に、敵1人に対して攻撃力の
409%
分のダメージ/
防御力を
22.7%
減少（
20秒
間）
8
30秒毎に、敵1人に対して攻撃力の
424%
分のダメージ/
防御力を
22.7%
減少（
20秒
間）
9
30秒毎に、敵1人に対して攻撃力の
439%
分のダメージ/
防御力を
22.7%
減少（
20秒
間）
10
30秒毎に、敵1人に対して攻撃力の
468%
分のダメージ/
防御力を
24.6%
減少（
20秒
間）
↑
パッシブスキル
†
過酷な訓練
過酷な訓練+
Lv
効果
効果（固有武器★2）
1
会心値を
14%
増加
会心値を
100
増加/
さらに会心値を
14%
増加
2
会心値を
14.7%
増加
会心値を
105
増加/
さらに会心値を
14.7%
増加
3
会心値を
15.4%
増加
会心値を
110
増加/
さらに会心値を
15.4%
増加
4
会心値を
18.2%
増加
会心値を
130
増加/
さらに会心値を
18.2%
増加
5
会心値を
18.9%
増加
会心値を
135
増加/
さらに会心値を
18.9%
増加
6
会心値を
19.6%
増加
会心値を
140
増加/
さらに会心値を
19.6%
増加
7
会心値を
22.4%
増加
会心値を
160
増加/
さらに会心値を
22.4%
増加
8
会心値を
23.1%
増加
会心値を
165
増加/
さらに会心値を
23.1%
増加
9
会心値を
23.8%
増加
会心値を
170
増加/
さらに会心値を
23.8%
増加
10
会心値を
26.6%
増加
会心値を
190
増加/
さらに会心値を
26.6%
増加
↑
サブスキル
†
弱点を狙う
Lv
効果
1
弱体状態の敵への攻撃時に、攻撃力の
46.6%
分の追加ダメージ
2
弱体状態の敵への攻撃時に、攻撃力の
49%
分の追加ダメージ
3
弱体状態の敵への攻撃時に、攻撃力の
51.2%
分の追加ダメージ
4
弱体状態の敵への攻撃時に、攻撃力の
60.6%
分の追加ダメージ
5
弱体状態の敵への攻撃時に、攻撃力の
62.9%
分の追加ダメージ
6
弱体状態の敵への攻撃時に、攻撃力の
65.2%
分の追加ダメージ
7
弱体状態の敵への攻撃時に、攻撃力の
74.6%
分の追加ダメージ
8
弱体状態の敵への攻撃時に、攻撃力の
76.9%
分の追加ダメージ
9
弱体状態の敵への攻撃時に、攻撃力の
79.2%
分の追加ダメージ
10
弱体状態の敵への攻撃時に、攻撃力の
88.5%
分の追加ダメージ
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x19
3
500,000
x12
x18
x16
x29
4
3,000,000
x12
x18
x11
x26
5
10,000,000
x8
x18
x7
x20
↑
その他スキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
5,000
x5
3
7,500
x8
4
60,000
x5
x12
x6
5
90,000
x8
x6
x15
6
300,000
x5
x12
x11
x14
7
450,000
x8
×5
×19
8
1,500,000
x8
x12
×4
×6
9
2,400,000
x12
x8
x14
10
4,000,000
x1
↑
固有武器
†
Et Omnia Vanitas
詳細
アズサが常にしっかりと持っている銃。
銃身には「全ては虚しい。どこまで行こうとも、全てはただ虚しいものだ」という文字が刻まれている。
限界突破
★2
パッシブスキルが「
過酷な訓練+
」に変化（会心値増加を追加）
★3
屋内戦への地形別戦闘力をSSに強化
★4
今後のアップデートで追加予定です
★5
今後のアップデートで追加予定です
Lv.1
Lv.30
Lv.40
Lv.50
Lv.60
Lv.70
攻撃力
83
302
378
454
-
-
最大HP
641
2330
2912
3495
-
-
↑
能力解放
†
Lv.10
Lv.20
Lv.25
最大HP
+406
+811
+1013
攻撃力
+35
+69
+87
治癒力
+80
+159
+198
↑
必要素材
†
＋クリックで展開
Lv
素材
クレジットポイント
1-5
100,000
(500,000)
x2(10)
x10(50)
6-10
100,000
(500,000)
x2(10)
x15(75)
11-15
100,000
(500,000)
x2(10)
x20(100)
16-20
200,000
(1,000,000)
x4(20)
x6(30)
21-25
200,000
(1,000,000)
x4(20)
x8(40)
※括弧内は5Lv分合計
↑
絆ランクボーナス
†
＋クリックで展開
RANK
絆ランクボーナス
2-5
