[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: イズナ（水着）_圧縮.png]
[画像タイトル: 7D98315F-E07C-41FF-BBF7-3F85E5C51B8F.jpeg]
[画像タイトル: Edit バージョン/イズナ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_MARK.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: マンドレイクの種]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: マンドレイクジュース]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 最上級戦術教育BD(百鬼夜行)]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: マンドレイク濃縮液]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイクの種]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイクジュース]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイク濃縮液]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: マンドレイク濃縮液]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_10014.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: マンドレイクの種]
[画像タイトル: 応用WB]
[画像タイトル: マンドレイクの種]
[画像タイトル: 応用WB]
[画像タイトル: マンドレイクの種]
[画像タイトル: 応用WB]
[画像タイトル: マンドレイクの芽]
[画像タイトル: 応用WB]
[画像タイトル: マンドレイクの芽]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: イズナ_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: イズナ（水着）_メモリアルロピ゛ー.jpg]
[画像タイトル: Ela02V0.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: イズナ（水着）_icon.png]
[画像タイトル: おしゃれなくし]
[画像タイトル: 刺繍付きのハンカチ]
[画像タイトル: 夏模様の浮き輪]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Seahouse_01_Freezer.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-11 (火) 12:08:44
全キャラクター一覧
>
★3キャラクター一覧
>
イズナ（水着）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
イズナ（水着）
フルネーム
久田
イズナ
レアリティ
★3
役割
STRIKER
ポジション
FRONT
クラス
アタッカー
武器種
SMG
遮蔽物
使う
攻撃タイプ
神秘
防御タイプ
特殊装甲
学園
百鬼夜行連合学院1年生
部活
忍術研究部
年齢
15歳
誕生日
12月16日
身長
155cm
趣味
忍術の勉強、主殿の護衛
デザイン
はねこと
イラスト
はねこと
CV
阿澄佳奈
ちびキャラ
各バージョン
一覧
★3
イズナ
★3
イズナ（水着）
基本情報
百鬼夜行連合学院所属、修行のために海を訪れた忍術研究部所属の少女。
普段から活気に満ちているイズナだが、今回は夏のエネルギーを受けているからか、
200％の元気でもって接してくれる。より夏にふさわしい忍者となるべく、
今日もイズナは修行という名の夏を、主殿と共に満喫している。
入手方法
限定ピックアップ募集
「色に出でにけりわが夏は」(2022/07/25～2022/08/03)
復刻限定ピックアップ募集
(2023/08/16～2023/08/23)
復刻限定ピックアップ募集
(2024/06/16～2024/06/26)
ステータス(初期値/MAX値)
HP
2656
/29915(★3Lv80)
/32318(★4Lv80)
/40217(★5Lv90)
攻撃力
237
/1939(★3Lv80)
/2162(★4Lv80)
/2701(★5Lv90)
防御力
21/117
治癒力
1730
/4490(★3Lv80)
/4949(★4Lv80)
/5952(★5Lv90)
命中値
115
回避値
1024
会心値
262
会心ダメージ
200%
防御貫通値
0
安定値
1324
射程距離
450
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
D
屋外戦闘力
B
屋内戦闘力
S
装備（装着可能Lv）
Lv1
グローブ
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
イズナ流忍法・夏バージョン
Lv
コスト
効果
1
2
敵1人に対して、攻撃力の
423%
分のダメージ/
指定した敵に対して
集中砲火
状態（
30秒
間）
2
敵1人に対して、攻撃力の
486%
分のダメージ/
指定した敵に対して
集中砲火
状態（
30秒
間）
3
敵1人に対して、攻撃力の
613%
分のダメージ/
指定した敵に対して
集中砲火
状態（
30秒
間）
4
敵1人に対して、攻撃力の
677%
分のダメージ/
指定した敵に対して
集中砲火
状態（
30秒
間）
5
敵1人に対して、攻撃力の
804%
分のダメージ/
指定した敵に対して
集中砲火
状態（
30秒
間）
↑
ノーマルスキル
†
イズナ流忍法！ぷくぷくの術！
Lv
効果
1
通常攻撃
6回
毎に、敵1人に対して攻撃力の
418%
分のダメージ/
会心ダメージ抵抗率を
29.9%
減少（
20秒
間）
2
通常攻撃
6回
毎に、敵1人に対して攻撃力の
439%
分のダメージ/
会心ダメージ抵抗率を
29.9%
減少（
20秒
間）
3
通常攻撃
6回
毎に、敵1人に対して攻撃力の
460%
分のダメージ/
会心ダメージ抵抗率を
29.9%
減少（
20秒
間）
4
通常攻撃
6回
毎に、敵1人に対して攻撃力の
502%
分のダメージ/
会心ダメージ抵抗率を
32.9%
減少（
20秒
間）
5
通常攻撃
6回
毎に、敵1人に対して攻撃力の
523%
分のダメージ/
会心ダメージ抵抗率を
32.9%
減少（
20秒
間）
6
通常攻撃
6回
毎に、敵1人に対して攻撃力の
543%
分のダメージ/
会心ダメージ抵抗率を
32.9%
減少（
20秒
間）
7
通常攻撃
6回
毎に、敵1人に対して攻撃力の
585%
分のダメージ/
会心ダメージ抵抗率を
35.9%
減少（
20秒
間）
8
通常攻撃
6回
毎に、敵1人に対して攻撃力の
606%
