[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ウイ（水着）.png]
[画像タイトル: ウイ（水着）_chibi3.png]
[画像タイトル: Edit バージョン/ウイ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BULLETTYPEBUFF.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BULLETTYPEBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 黄金の糸]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 黄金の巻糸]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なヴォイニッチ手稿のコピー]
[画像タイトル: 大きな黄金の巻糸]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 黄金の糸]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 黄金の糸]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 黄金の巻糸]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なヴォイニッチ手稿のコピー]
[画像タイトル: 大きな黄金の巻糸]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なヴォイニッチ手稿のコピー]
[画像タイトル: 大きな黄金の巻糸]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0169.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 応用WB]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 応用WB]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 応用WB]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 応用WB]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ウイ_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ウイ（水着）_メモリアルロビー.jpg]
[画像タイトル: FdUjdIe.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ウイ（水着）_icon.png]
[画像タイトル: ストリートオブヤンキー1巻]
[画像タイトル: 『銃 可愛い 青春』]
[画像タイトル: 埋蔵金の地図]
[画像タイトル: 古典の詩集]
[画像タイトル: 禁断の愛～許されないからこそ美しく～]
[画像タイトル: ゲームマガジン「ヒットガールズ」]
[画像タイトル: 跳躍探偵ウサギ～霧に包まれた温泉での滑落～]
[画像タイトル: 百科事典]
[画像タイトル: 夏模様の浮き輪]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Event058_Suitcase.png]
[画像タイトル: 家具モーション1.png]
[画像タイトル: 家具モーション6.png]
[画像タイトル: 家具モーション2.png]
[画像タイトル: 家具モーション3.png]
[画像タイトル: 家具モーション4.png]
[画像タイトル: 家具モーション5.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-11 (火) 12:14:43
全キャラクター一覧
>
★3キャラクター一覧
>
ウイ（水着）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦・大決戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ウイ（水着）
フルネーム
古関
ウイ
レアリティ
★3
役割
STRIKER
ポジション
BACK
クラス
サポーター
武器種
SR
遮蔽物
使う
攻撃タイプ
貫通
防御タイプ
弾力装甲
学園
トリニティ総合学園3年生
部活
図書委員会
年齢
17歳
誕生日
4月23日
身長
165cm
趣味
読書、書籍の管理、
古書の研究
デザイン
CHILD
イラスト
CHILD
CV
後藤沙緒里
ちびキャラ
各バージョン
一覧
★3
ウイ
★3
ウイ（水着）
基本情報
遺跡調査に来たトリニティ総合学園所属、図書委員会の委員長。
外に出て体を動かす事は苦手だが、古書や遺跡、遺物好きのため調査自体には真面目に取り組んでいる模様。
入手方法
限定ピックアップ募集
「灼熱無き隠れ家の燦夏」(2023/07/24～2023/08/02)
復刻限定ピックアップ募集
(2024/09/04～2024/09/18)
ステータス(初期値/MAX値)
HP
2270
/17920(★3Lv90)
/18791(★4Lv87)
/20965(★5Lv87)
攻撃力
314
/2854(★3Lv90)
/3086(★4Lv87)
/3472(★5Lv87)
防御力
18/99
治癒力
1808
/5059(★3Lv90)
/5455(★4Lv87)
/6087(★5Lv87)
命中値
989
回避値
180
会心値
219
会心ダメージ
200%
防御貫通値
0
安定値
1800
射程距離
750
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
B
屋外戦闘力
D
屋内戦闘力
S
装備（装着可能Lv）
Lv1
シューズ
Lv10
ヘアピン
Lv20
お守り
↑
スキル
†
↑
EXスキル
†
プライベートカフェ
Lv
コスト
効果
1
4
自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を
36.9%
加算（
45秒
間）
2
自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を
42.4%
加算（
45秒
間）
3
自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を
53.5%
加算（
45秒
間）
4
自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を
59%
加算（
45秒
間）
5
自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を
70.1%
加算（
45秒
間）
↑
ノーマルスキル
†
決定的な手がかり
Lv
効果
1
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
15.2%
加算（
30秒
間）/
手がかり
を
3個
消耗
2
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
15.9%
加算（
30秒
間）/
手がかり
を
3個
消耗
3
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
16.7%
加算（
30秒
間）/
手がかり
を
3個
消耗
4
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
19.7%
加算（
30秒
間）/
手がかり
を
3個
消耗
5
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
20.5%
加算（
30秒
間）/
手がかり
を
3個
消耗
6
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
21.3%
加算（
30秒
間）/
手がかり
を
3個
消耗
7
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
24.3%
加算（
30秒
間）/
手がかり
を
3個
消耗
8
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
25.1%
加算（
30秒
間）/
手がかり
を
3個
消耗
9
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
25.8%
加算（
30秒
間）/
手がかり
を
3個
消耗
10
手がかり
を
3個
獲得時、ストライカーの味方に貫通特効を
28.9%
加算（
30秒
間）/
手がかり
を
3個
消耗
↑
パッシブスキル
†
探究者の意志
探究者の意志+
Lv
効果
効果（固有武器★2）
1
攻撃力を
14%
増加
HPを
3242
増加/
さらに攻撃力を
14%
増加
2
攻撃力を
14.7%
増加
HPを
3404
増加/
さらに攻撃力を
14.7%
増加
3
攻撃力を
15.4%
増加
HPを
3566
増加/
さらに攻撃力を
15.4%
増加
4
攻撃力を
18.2%
増加
HPを
4215
増加/
さらに攻撃力を
18.2%
増加
5
攻撃力を
18.9%
増加
HPを
4377
増加/
さらに攻撃力を
18.9%
増加
6
攻撃力を
19.6%
増加
HPを
4539
増加/
さらに攻撃力を
19.6%
増加
7
攻撃力を
22.4%
増加
HPを
5187
増加/
さらに攻撃力を
22.4%
増加
8
攻撃力を
23.1%
増加
HPを
5349
増加/
さらに攻撃力を
23.1%
増加
9
攻撃力を
23.8%
増加
HPを
5511
増加/
さらに攻撃力を
23.8%
増加
10
攻撃力を
26.6%
増加
HPを
6160
増加/
さらに攻撃力を
26.6%
増加
↑
サブスキル
†
手がかりの把握
Lv
効果
1
自身を除く味方のExスキルを
2回
使用時、攻撃力を
22.6%
増加（
30秒
間）/
手がかり
を
1個
獲得
2
自身を除く味方のExスキルを
2回
使用時、攻撃力を
23.8%
増加（
30秒
間）/
手がかり
を
1個
獲得
3
自身を除く味方のExスキルを
2回
使用時、攻撃力を
24.9%
増加（
30秒
間）/
手がかり
を
1個
獲得
4
自身を除く味方のExスキルを
2回
使用時、攻撃力を
29.4%
増加（
30秒
間）/
手がかり
を
1個
獲得
5
自身を除く味方のExスキルを
2回
使用時、攻撃力を
30.6%
増加（
30秒
間）/
手がかり
を
1個
獲得
6
自身を除く味方のExスキルを
2回
使用時、攻撃力を
31.7%
増加（
30秒
間）/
手がかり
を
1個
獲得
7
自身を除く味方のExスキルを
2回
使用時、攻撃力を
36.2%
増加（
30秒
間）/
手がかり
を
1個
獲得
8
自身を除く味方のExスキルを
2回
使用時、攻撃力を
37.4%
増加（
30秒
間）/
手がかり
を
1個
獲得
9
自身を除く味方のExスキルを
2回
使用時、攻撃力を
38.5%
増加（
30秒
間）/
