[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ウタハ（応援団）.png]
[画像タイトル: Utaha(Cheerleader)_SD.jpg]
[画像タイトル: Edit バージョン/ウタハ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_FORMCHANGE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #NormalSkill2]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_EXTRADAMAGE.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(ミレニアム)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級戦術教育BD(ミレニアム)]
[画像タイトル: 初級戦術教育BD(ミレニアム)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級戦術教育BD(ミレニアム)]
[画像タイトル: 中級戦術教育BD(ミレニアム)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: 最上級戦術教育BD(ミレニアム)]
[画像タイトル: 上級戦術教育BD(ミレニアム)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: 初級技術ノート(ミレニアム)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 中級技術ノート(ミレニアム)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: ネブラディスクの欠片]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: 壊れたネブラディスク]
[画像タイトル: 最上級技術ノート(ミレニアム)]
[画像タイトル: 上級技術ノート(ミレニアム)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: 最上級技術ノート(ミレニアム)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: 摩耗したネブラディスク]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_23004.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ウタハ_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ウタハ（応援団）_メモリアルロビー.jpg]
[画像タイトル: zicdWyc.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ウタハ（応援団）_icon.png]
[画像タイトル: エイ～ブックレア]
[画像タイトル: 天体望遠鏡]
[画像タイトル: エーポッドプロ]
[画像タイトル: ゲームガールカラー復刻版]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Autumnsports_01_Stand.png]
[画像タイトル: 家具モーション1.png]
[画像タイトル: 家具モーション2.png]
[画像タイトル: 家具モーション3.png]
[画像タイトル: 家具モーション4.png]
[画像タイトル: 家具モーション5.png]
[画像タイトル: 家具モーション6.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #LimitBreakAssault]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit 地形適応力表(神秘)]
[画像タイトル: 市街地.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋外.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋内.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-17 (土) 20:00:43
全キャラクター一覧
>
★3キャラクター一覧
>
ウタハ（応援団）
基本情報
スキル
EXスキル
ノーマルスキル
ノーマルスキル（ターレット強化）
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
制約解除決戦
戦術対抗戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ウタハ（応援団）
フルネーム
白石
ウタハ
レアリティ
★3
役割
STRIKER
ポジション
FRONT
クラス
アタッカー
武器種
SMG
遮蔽物
-
攻撃タイプ
神秘
防御タイプ
特殊装甲
学園
ミレニアムサイエンス
スクール3年生
部活
エンジニア部
年齢
17歳
誕生日
11月13日
身長
162cm
趣味
発明や修理全般
デザイン
Paruru
イラスト
Paruru
CV
青地希望
ちびキャラ
各バージョン
一覧
★2
ウタハ
★3
ウタハ（応援団）
基本情報
大運動会を迎え、応援団長の衣装に身を包んだエンジニア部の部長。
急遽引き受けることになった応援だが、最善を尽くすマイスターらしく、
彼女の情熱はどの応援団よりも熱く燃え上がる。
行き過ぎた情熱で、たまに本来の目的を忘れたりしている模様……
入手方法
ピックアップ募集「晴れ空に響く情熱」(2022/09/28～2022/10/12)
復刻ピックアップ募集(2023/09/06～2023/09/15)
復刻ピックアップ募集(2024/12/11～2024/12/18)
通常募集
ステータス(初期値/MAX値)
HP
2786
/32259(★3Lv83)
/35628(★4Lv85)
/39750(★5Lv85)
攻撃力
424
/3582(★3Lv83)
/4079(★4Lv85)
/4589(★5Lv85)
防御力
22/116
治癒力
1067
/4420(★3Lv83)
/4945(★4Lv85)
/5518(★5Lv85)
命中値
111
回避値
1067
会心値
252
会心ダメージ
200%
防御貫通値
0
安定値
1384
射程距離
450
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
D
屋外戦闘力
B
屋内戦闘力
S
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
雷ちゃんMK-Ⅲ、強化
Lv
コスト
効果
1
5
ターレットを強化します（
90秒間
）ターレットは強化状態が維持される間、
通常攻撃が攻撃力の
115%
分のダメージを与えるように変更され、
ノーマルスキルの発動条件が変更されます。
2
ターレットを強化します（
90秒間
）ターレットは強化状態が維持される間、
通常攻撃が攻撃力の
120%
分のダメージを与えるように変更され、
ノーマルスキルの発動条件が変更されます。
3
ターレットを強化します（
90秒間
）ターレットは強化状態が維持される間、
通常攻撃が攻撃力の
130%
分のダメージを与えるように変更され、
ノーマルスキルの発動条件が変更されます。
4
ターレットを強化します（
90秒間
）ターレットは強化状態が維持される間、
通常攻撃が攻撃力の
136%
分のダメージを与えるように変更され、
ノーマルスキルの発動条件が変更されます。
5
ターレットを強化します（
90秒間
）ターレットは強化状態が維持される間、
通常攻撃が攻撃力の
146%
分のダメージを与えるように変更され、
ノーマルスキルの発動条件が変更されます。
↑
ノーマルスキル
†
情熱砲
Lv
効果
1
30秒
毎に、敵1人に対して攻撃力の
166%
分のダメージ
2
30秒
毎に、敵1人に対して攻撃力の
174%
分のダメージ
3
30秒
毎に、敵1人に対して攻撃力の
182%
分のダメージ
4
30秒
毎に、敵1人に対して攻撃力の
215%
分のダメージ
5
30秒
毎に、敵1人に対して攻撃力の
224%
分のダメージ
6
30秒
毎に、敵1人に対して攻撃力の
232%
分のダメージ
7
30秒
毎に、敵1人に対して攻撃力の
265%
分のダメージ
8
30秒
毎に、敵1人に対して攻撃力の
274%
分のダメージ
9
30秒
毎に、敵1人に対して攻撃力の
282%
分のダメージ
10
30秒
毎に、敵1人に対して攻撃力の
315%
分のダメージ
↑
ノーマルスキル（ターレット強化）
†
情熱砲
Lv
効果
1
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
284%
分のダメージ
2
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
298%
分のダメージ
3
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
312%
分のダメージ
4
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
369%
分のダメージ
5
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
383%
分のダメージ
6
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
397%
分のダメージ
7
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
454%
分のダメージ
8
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
468%
分のダメージ
9
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
483%
分のダメージ
10
ターレット強化状態の場合は、通常攻撃
6回
毎に、敵1人に対して攻撃力の
539%
分のダメージ
↑
パッシブスキル
†
応援団長の情熱
応援団長の情熱+
Lv
効果
効果（固有武器★2）
1
攻撃力を
14%
増加
攻撃速度を
1400
増加/
さらに攻撃力を
14%
増加
2
攻撃力を
14.7%
増加
攻撃速度を
1470
増加/
さらに攻撃力を
14.7%
増加
3
攻撃力を
15.4%
増加
攻撃速度を
1540
増加/
さらに攻撃力を
15.4%
増加
4
攻撃力を
18.2%
増加
攻撃速度を
1820
増加/
さらに攻撃力を
18.2%
増加
5
攻撃力を
18.9%
増加
攻撃速度を
1890
増加/
さらに攻撃力を
18.9%
増加
6
攻撃力を
19.6%
増加
攻撃速度を
1960
増加/
さらに攻撃力を
19.6%
増加
7
攻撃力を
22.4%
増加
攻撃速度を
2240
増加/
さらに攻撃力を
22.4%
増加
8
攻撃力を
23.1%
増加
攻撃速度を
2310
増加/
さらに攻撃力を
23.1%
増加
9
攻撃力を
23.8%
増加
攻撃速度を
2380
増加/
さらに攻撃力を
23.8%
増加
10
攻撃力を
26.6%
増加
攻撃速度を
2660
増加/
さらに攻撃力を
26.6%
増加
↑
サブスキル
†
応援団長の闘志
Lv
効果
1
弱体状態の敵への攻撃時に、攻撃力の
5.1%
分の追加ダメージ
2
弱体状態の敵への攻撃時に、攻撃力の
5.3%
分の追加ダメージ
3
弱体状態の敵への攻撃時に、攻撃力の
5.6%
分の追加ダメージ
4
弱体状態の敵への攻撃時に、攻撃力の
6.6%
分の追加ダメージ
5
弱体状態の敵への攻撃時に、攻撃力の
6.8%
分の追加ダメージ
6
弱体状態の敵への攻撃時に、攻撃力の
7.1%
分の追加ダメージ
7
弱体状態の敵への攻撃時に、攻撃力の
8.1%
分の追加ダメージ
8
弱体状態の敵への攻撃時に、攻撃力の
8.4%
分の追加ダメージ
9
弱体状態の敵への攻撃時に、攻撃力の
8.6%
分の追加ダメージ
10
弱体状態の敵への攻撃時に、攻撃力の
9.7%
