[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: カエデ_立ち絵0.png]
[画像タイトル: Screenshot_2022.10.04_11.17.39.050.png]
[画像タイトル: Edit バージョン/カエデ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_SHIELD.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 最上級戦術教育BD(百鬼夜行)]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 断片的なヴォイニッチ手稿のコピー]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 傷んだヴォイニッチ手稿のコピー]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 編集済みのヴォイニッチ手稿のコピー]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0116.png]
[画像タイトル: Edit #FavoriteItem]
[画像タイトル: Edit]
[画像タイトル: Gear_Icon_20015.png]
[画像タイトル: コスプレ用ぐるぐるメガネ]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 応用WB]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: カエデ_メモリアルロビー.jpg]
[画像タイトル: THEdNIx.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: カエデ_仮icon.png]
[画像タイトル: ボードゲーム「ザ・人生」]
[画像タイトル: コスプレ用ぐるぐるメガネ]
[画像タイトル: ゲームマガジン「ヒットガールズ」]
[画像タイトル: 天体望遠鏡]
[画像タイトル: ゲームガールカラー復刻版]
[画像タイトル: O-フィット]
[画像タイトル: リボンのついた熊のぬいぐるみ]
[画像タイトル: 30色の絵の具セット]
[画像タイトル: 頭脳開発キューブパズル]
[画像タイトル: 食虫植物の植木鉢]
[画像タイトル: 高級そうな欲望のつぼ]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Hotsprings_01_Gachamachine.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #LimitBreakAssault]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Variation]
[画像タイトル: Edit]
[画像タイトル: カエデ（体操服）.png]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-24 (土) 02:44:18
全キャラクター一覧
>
★3キャラクター一覧
>
カエデ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
愛用品
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
制約解除決戦
戦術対抗戦
編成考察
小ネタ
立ち絵バリエーション
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
カエデ
フルネーム
勇美
カエデ
レアリティ
★3
役割
SPECIAL
ポジション
BACK
クラス
サポーター
武器種
HG
遮蔽物
-
攻撃タイプ
爆発
防御タイプ
特殊装甲
学園
百鬼夜行連合学院1年生
部活
修行部
年齢
15歳
誕生日
7月9日
身長
142cm
趣味
いたずら
（できるだけ我慢してる）、
カブトムシを捕まえること
デザイン
kokosando
イラスト
kokosando
CV
加藤英美里
ちびキャラ
各バージョン
一覧
★3
カエデ
基本情報
百鬼夜行連合学院所属、修行部の元気な部員。
元々は百鬼夜行でもかなり田舎の方に住んでいたいたずらっ子だったが、
ふとしたタイミングで
ツバキ
と
ミモリ
に出会い、
「あんな素敵なレディーになりたい！」と修行部へ入ることに。
理想に近づくために日々研鑽を積んでいるが、
その修行の大半はなぜかトラブルに繋がってしまう。
入手方法
ピックアップ募集「我が身終ぞ 常ならむ！」(2022/04/27～2022/05/11)
復刻ピックアップ募集(2023/04/12～2023/04/19)
復刻ピックアップ募集(2024/05/08～2024/05/15)
通常募集
ショップ（大決戦レアコイン）
ステータス(初期値/MAX値)
HP
2389
/16291(★3Lv90)
/17600(★4Lv90)
/19636(★5Lv90)
攻撃力
180
/1633(★3Lv90)
/1820(★4Lv90)
/2048(★5Lv90)
防御力
18/101
治癒力
1990
/5568(★3Lv90)
/6136(★4Lv90)
/6847(★5Lv90)
命中値
105
回避値
1042
会心値
210
会心ダメージ
200%
防御貫通値
0
安定値
1090
射程距離
1000
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
D
屋内戦闘力
B
装備（装着可能Lv）
Lv1
シューズ
Lv10
バッグ
Lv20
ネックレス
↑
スキル
†
↑
EXスキル
†
信号弾、発射！！
Lv
コスト
効果
1
4
円形範囲内の味方に対して、治癒力の
144%
分の
シールド
効果を発動（
16秒
間）
2
円形範囲内の味方に対して、治癒力の
166%
分の
シールド
効果を発動（
16秒
間）
3
円形範囲内の味方に対して、治癒力の
210%
分の
シールド
効果を発動（
16秒
間）
4
円形範囲内の味方に対して、治癒力の
231%
分の
シールド
効果を発動（
16秒
間）
5
円形範囲内の味方に対して、治癒力の
275%
分の
シールド
効果を発動（
16秒
間）
↑
ノーマルスキル
†
カブトムシシールド！
カブトムシシールド！+
Lv
効果
効果（愛用品T2）
1
40秒
毎に、防御力が最も高い味方1人の防御力を
15.8%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
21.5%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
2
40秒
毎に、防御力が最も高い味方1人の防御力を
16.6%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
22.6%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
3
40秒
毎に、防御力が最も高い味方1人の防御力を
17.3%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
23.7%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
4
40秒
毎に、防御力が最も高い味方1人の防御力を
20.5%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
28%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
5
40秒
毎に、防御力が最も高い味方1人の防御力を
21.3%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
29.1%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
6
40秒
毎に、防御力が最も高い味方1人の防御力を
22.1%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
30.1%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
7
40秒
毎に、防御力が最も高い味方1人の防御力を
25.3%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
34.4%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
8
40秒
毎に、防御力が最も高い味方1人の防御力を
26%
増加（
33秒
間）
40秒
毎に、防御力が最も高い味方1人の防御力を
35.5%
増加（
33秒
間）/
さらに自身のスキルコストを減少（Exスキルの使用
1回
分）/
減少するコストの量はノーマルスキルの使用回数によって変更
1回：Exスキルコストを
1
減少
2回：Exスキルコストを
2
減少
3回：Exスキルコストを
3
減少
4回以降：Exスキルコスト減少効果なし
9
40秒
毎に、防御力が最も高い味方1人の防御力を
26.8%
増加（
33秒
間）
40秒
