[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: キキョウ.png]
[画像タイトル: IMG_1927.jpeg]
[画像タイトル: Edit バージョン/キキョウ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CROSS.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BULLETTYPEBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_CH0225_EXTRAPASSIVESKILL.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 初級戦術教育BD(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 中級戦術教育BD(百鬼夜行)]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 壊れた古代ロケット]
[画像タイトル: 最上級戦術教育BD(百鬼夜行)]
[画像タイトル: 上級戦術教育BD(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 初級技術ノート(百鬼夜行)]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 中級技術ノート(百鬼夜行)]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 修復済みの水晶埴輪]
[画像タイトル: 壊れた古代ロケット]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 上級技術ノート(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: 最上級技術ノート(百鬼夜行)]
[画像タイトル: 完全な水晶埴輪]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_Kikyou.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 水晶埴輪の破片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: 応用WB]
[画像タイトル: 壊れた水晶埴輪]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: キキョウ_メモリアルロビー.png]
[画像タイトル: VkV6xOa.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: キキョウ_icon.png]
[画像タイトル: ストリートオブヤンキー1巻]
[画像タイトル: 『銃 可愛い 青春』]
[画像タイトル: 跳躍探偵ウサギ～霧に包まれた温泉での滑落～]
[画像タイトル: 古典の詩集]
[画像タイトル: 禁断の愛～許されないからこそ美しく～]
[画像タイトル: ゲームマガジン「ヒットガールズ」]
[画像タイトル: ザ・サプリメント]
[画像タイトル: 百科事典]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Event062_Chair.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Firearm]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-06-03 (火) 20:26:21
全キャラクター一覧
>
★3キャラクター一覧
>
キキョウ
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
使用している銃の元ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
キキョウ
フルネーム
桐生
キキョウ
レアリティ
★3
役割
STRIKER
ポジション
BACK
クラス
サポーター
武器種
SR
遮蔽物
使う
攻撃タイプ
振動
防御タイプ
重装甲
学園
百鬼夜行連合学院2年生
部活
百花繚乱紛争調停委員会
年齢
16歳
誕生日
8月8日
身長
160cm
趣味
あやとり、
兵法書を読むこと、
日光浴
デザイン
Mx2J
イラスト
Mx2J
CV
小松未可子
ちびキャラ
各バージョン
一覧
★3
キキョウ
基本情報
百鬼夜行連合学院所属、百花繚乱紛争調停委員会の作戦参謀。
常識と倫理、理性を重んじる少女。
作戦参謀として勝利を重視するが、それ以上に大切にするのは味方の安全である。
冷酷なようでいて優しい少女。
入手方法
ピックアップ募集「おもい忍ばせ進めよ乙女」(2023/11/22～2023/12/06)
復刻ピックアップ募集(2024/10/16～2024/10/23)
復刻ピックアップ募集(2025/06/04～2025/06/18)
通常募集
ステータス(初期値/MAX値)
HP
2388
/18849(★3Lv90)
/20364(★4Lv90)
/22720(★5Lv90)
攻撃力
303
/2754(★3Lv90)
/3070(★4Lv90)
/3454(★5Lv90)
防御力
18/103
治癒力
1731
/4843(★3Lv90)
/5337(★4Lv90)
/5955(★5Lv90)
命中値
946
回避値
189
会心値
210
会心ダメージ
200%
防御貫通値
0
安定値
1892
射程距離
750
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
B
屋内戦闘力
D
装備(装着可能Lv)
Lv1
グローブ
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
神機妙算の一手
Lv
コスト
効果
1
5
十字範囲内の敵に対して防御力を
17.6%
減少(
30秒
間)/攻撃力の
252%
分のダメージ
2
十字範囲内の敵に対して防御力を
17.6%
減少(
30秒
間)/攻撃力の
291%
分のダメージ
3
十字範囲内の敵に対して防御力を
22.9%
減少(
30秒
間)/攻撃力の
366%
分のダメージ
4
十字範囲内の敵に対して防御力を
22.9%
減少(
30秒
間)/攻撃力の
405%
分のダメージ
5
十字範囲内の敵に対して防御力を
28.1%
減少(
30秒
間)/攻撃力の
480%
分のダメージ
↑
ノーマルスキル
†
敵を知り己を知れば百戦殆からず
Lv
効果
1
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
14.6%
/2人：
18%
/3人以上：
21.4%
)
2
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
15.3%
/2人：
18.9%
/3人以上：
22.5%
)
3
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
16.1%
/2人：
19.8%
/3人以上：
23.6%
)
4
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
19%
/2人：
23.4%
/3人以上：
27.8%
)
5
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
19.7%
/2人：
24.3%
/3人以上：
28.9%
)
6
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
20.4%
/2人：
25.2%
/3人以上：
30%
)
7
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
23.4%
/2人：
28.8%
/3人以上：
34.3%
)
8
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
24.1%
/2人：
29.7%
/3人以上：
35.3%
)
9
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
24.8%
/2人：
30.6%
/3人以上：
36.4%
)
10
35秒
毎に、自身を除く円形範囲内の味方に対して振動特効を加算(
25秒
間)/
範囲内で効果を受けた味方の数によって効果が増加(1人：
27.8%
/2人：
34.2%
/3人以上：
40.7%
)
↑
パッシブスキル
†
作戦参謀としての素養
作戦参謀としての素養+
Lv
効果
効果（固有武器★2）
1
攻撃力を
14%
増加
弱体状態持続力を
1000
増加/
さらに攻撃力を
14%
増加
2
攻撃力を
14.7%
増加
弱体状態持続力を
1050
増加/
さらに攻撃力を
14.7%
増加
3
攻撃力を
15.4%
増加
弱体状態持続力を
1100
増加/
さらに攻撃力を
15.4%
増加
4
攻撃力を
18.2%
増加
弱体状態持続力を
1300
増加/
さらに攻撃力を
18.2%
増加
5
攻撃力を
18.9%
増加
弱体状態持続力を
1350
増加/
さらに攻撃力を
18.9%
増加
6
攻撃力を
19.6%
増加
弱体状態持続力を
1400
増加/
さらに攻撃力を
19.6%
増加
7
攻撃力を
22.4%
増加
弱体状態持続力を
1600
増加/
さらに攻撃力を
22.4%
増加
8
攻撃力を
23.1%
増加
弱体状態持続力を
1650
増加/
さらに攻撃力を
23.1%
増加
9
攻撃力を
23.8%
増加
弱体状態持続力を
1700
増加/
さらに攻撃力を
23.8%
増加
10
攻撃力を
26.6%
増加
弱体状態持続力を
1900
増加/
さらに攻撃力を
26.6%
増加
↑
サブスキル
†
風林火山の計略
Lv
効果
1
30秒
毎に、攻撃力を
17.2%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
2
30秒
毎に、攻撃力を
18.1%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
3
30秒
毎に、攻撃力を
18.9%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
4
30秒
毎に、攻撃力を
22.4%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
5
30秒
毎に、攻撃力を
23.3%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
6
30秒
毎に、攻撃力を
24.1%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
7
30秒
毎に、攻撃力を
27.6%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
8
30秒
毎に、攻撃力を
28.4%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
9
30秒
毎に、攻撃力を
29.3%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
10
30秒
毎に、攻撃力を
32.8%
増加(
20秒
間)/さらに「風林火山」を1個付与(最大3個まで重複)/
「風林火山」が3個になった時、EXスキルを使用すると、「風林火山」を全て消耗し自身を除く味方のEXスキルコストを
1
減少(EXスキル使用
1回
分)
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x16
3
500,000
x12
x18
x16
x30
4
3,000,000
x12
x18
x7
x24
5
10,000,000
x8
x18
x9
x21
↑
その他スキル
†
