[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ツルギ（水着）.png]
[画像タイトル: tsurugi(mizugi).jpg]
[画像タイトル: Edit バージョン/ツルギ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_FORMCHANGE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_TARGET.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: エーテルの結晶]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: エーテルの粉]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 摩耗したアンティキティラ装置]
[画像タイトル: エーテルの欠片]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: エーテルの結晶]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なアンティキティラ装置]
[画像タイトル: エーテルの結晶]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_16005.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: アンティキティラ装置の欠片]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: 応用WB]
[画像タイトル: 壊れたアンティキティラ装置]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ツルギ_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ツルギ（水着）_メモリアルロビー.jpg]
[画像タイトル: qysiTf6.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ツルギ（水着）_icon.png]
[画像タイトル: おしゃれなくし]
[画像タイトル: 禁断の愛～許されないからこそ美しく～]
[画像タイトル: 夏模様の浮き輪]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Poolparty_01_B_Pool.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit 地形適応力表(神秘)]
[画像タイトル: 市街地.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋外.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: 屋内.png]
[画像タイトル: landform_aptitude_5.png]
[画像タイトル: landform_aptitude_4.png]
[画像タイトル: landform_aptitude_3.png]
[画像タイトル: landform_aptitude_2.png]
[画像タイトル: landform_aptitude_1.png]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-04-07 (月) 03:13:55
全キャラクター一覧
>
★1キャラクター一覧
>
ツルギ（水着）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ツルギ（水着）
フルネーム
剣先
ツルギ
レアリティ
★1
役割
STRIKER
ポジション
FRONT
クラス
アタッカー
武器種
SG
遮蔽物
-
攻撃タイプ
神秘
防御タイプ
特殊装甲
学園
トリニティ総合学園3年生
部活
正義実現委員会
年齢
17歳
誕生日
6月24日
身長
162cm
趣味
映画鑑賞、読書（恋愛小説）
デザイン
Mx2J
イラスト
Mx2J
CV
小林ゆう
ちびキャラ
各バージョン
一覧
★3
ツルギ
★1
ツルギ（水着）
基本情報
トリニティ総合学園所属、青春のロマンを求めて海へと降り立った、
正義実現委員会の委員長にして戦略兵器。
せっかくの夏休みを楽しもうと、
自身の暴力的な気質を押さえながら青春を楽しもうとするものの……
どうやら夏の海は、彼女の思い通りにはなってくれない様子。
入手方法
イベント「
夏空のウィッシュリスト
」(2021/6/30 ～ 7/15)
イベント「
【復刻】夏空のウィッシュリスト
」（2022/4/20 ～ 4/27）
イベントストーリー「夏空のウィッシュリスト」（2023/5/17 ～ ）
ステータス(初期値/MAX値)
HP
2536
/25275(★1Lv70)
/26539(★2Lv70)
/28308(★3Lv70)
/30583(★4Lv70)
/43018(★5Lv90)
攻撃力
345
/2511(★1Lv70)
/2763(★2Lv70)
/3064(★3Lv70)
/3415(★4Lv70)
/4803(★5Lv90)
防御力
136/752
治癒力
1379
/3302(★1Lv70)
/3550(★2Lv70)
/3880(★3Lv70)
/4277(★4Lv70)
/5577(★5Lv90)
命中値
650
回避値
182
会心値
246
会心ダメージ
200%
防御貫通値
0
安定値
2028
射程距離
450
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
B
屋外戦闘力
C
屋内戦闘力
A
装備（装着可能Lv）
Lv1
シューズ
Lv10
バッグ
Lv20
お守り
↑
スキル
†
↑
EXスキル
†
止まらない奔流
Lv
コスト
効果
1
3
通常攻撃を攻撃力の
67%
分の追加ダメージを与える攻撃に変更（
20秒
間）
2
通常攻撃を攻撃力の
92%
分の追加ダメージを与える攻撃に変更（
20秒
間）
3
通常攻撃を攻撃力の
117%
分の追加ダメージを与える攻撃に変更（
25秒
間）
4
通常攻撃を攻撃力の
142%
分の追加ダメージを与える攻撃に変更（
25秒
間）
5
通常攻撃を攻撃力の
167%
分の追加ダメージを与える攻撃に変更（
30秒
間）
↑
ノーマルスキル
†
燃え盛る一撃
Lv
効果
1
35秒
毎に、敵1人に対して攻撃力の
190%
分のダメージ
2
35秒
毎に、敵1人に対して攻撃力の
200%
分のダメージ
3
35秒
毎に、敵1人に対して攻撃力の
209%
分のダメージ
4
35秒
毎に、敵1人に対して攻撃力の
247%
分のダメージ
5
35秒
毎に、敵1人に対して攻撃力の
257%
分のダメージ
6
35秒
毎に、敵1人に対して攻撃力の
267%
分のダメージ
7
35秒
毎に、敵1人に対して攻撃力の
305%
分のダメージ
8
35秒
毎に、敵1人に対して攻撃力の
314%
分のダメージ
9
35秒
毎に、敵1人に対して攻撃力の
324%
分のダメージ
10
35秒
毎に、敵1人に対して攻撃力の
362%
分のダメージ
↑
パッシブスキル
†
軽やかな気持ち
軽やかな気持ち+
Lv
効果
効果（固有武器★2）
1
攻撃速度を
14%
増加
HPを
4058
増加/
さらに攻撃速度を
14%
増加
2
攻撃速度を
14.7%
増加
HPを
4261
増加/
さらに攻撃速度を
14.7%
増加
3
攻撃速度を
15.4%
増加
HPを
4464
増加/
さらに攻撃速度を
15.4%
増加
4
攻撃速度を
18.2%
増加
HPを
5275
増加/
さらに攻撃速度を
18.2%
増加
5
攻撃速度を
18.9%
増加
HPを
5478
増加/
さらに攻撃速度を
18.9%
増加
6
攻撃速度を
19.6%
増加
HPを
5681
増加/
さらに攻撃速度を
19.6%
増加
7
攻撃速度を
22.4%
増加
HPを
6493
増加/
さらに攻撃速度を
22.4%
増加
8
攻撃速度を
23.1%
増加
HPを
6696
増加/
さらに攻撃速度を
23.1%
増加
9
攻撃速度を
23.8%
増加
HPを
6898
増加/
さらに攻撃速度を
23.8%
増加
10
攻撃速度を
26.6%
増加
HPを
7710
増加/
さらに攻撃速度を
26.6%
増加
↑
サブスキル
†
火照った身体
Lv
効果
1
ノーマルスキルの使用時、攻撃速度を
16.8%
増加（
30秒
間）
2
ノーマルスキルの使用時、攻撃速度を
17.6%
増加（
30秒
間）
3
ノーマルスキルの使用時、攻撃速度を
18.4%
増加（
30秒
間）
4
ノーマルスキルの使用時、攻撃速度を
21.8%
増加（
30秒
間）
5
ノーマルスキルの使用時、攻撃速度を
22.6%
増加（
30秒
間）
6
ノーマルスキルの使用時、攻撃速度を
23.5%
増加（
30秒
間）
7
ノーマルスキルの使用時、攻撃速度を
26.8%
増加（
30秒
間）
8
ノーマルスキルの使用時、攻撃速度を
27.7%
増加（
30秒
間）
9
ノーマルスキルの使用時、攻撃速度を
28.5%
増加（
30秒
間）
10
ノーマルスキルの使用時、攻撃速度を
31.9%
増加（
30秒
間）
↑
スキル成長素材
†
↑
EXスキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
80,000
x12
x16
3
500,000
x12
x18
x15
x33
4
3,000,000
x12
x18
x13
x26
5
10,000,000
x8
x18
x11
x18
↑
その他スキル
†
＋クリックで展開
Lv
素材
クレジットポイント
2
5,000
x5
3
7,500
x8
4
60,000
x5
x12
x7
5
90,000
x8
x5
x14
6
300,000
x5
x12
x9
x19
7
450,000
x8
x6
x19
8
1,500,000
x8
x12
x6
x11
9
2,400,000
x12
x9
x13
10
4,000,000
x1
↑
固有武器
†
ブラッド＆ガンパウダー
詳細
ツルギが使用する二丁のショットガン。
水中でも何の問題も無く超火力を誇る。
限界突破
★2
パッシブスキルが「
軽やかな気持ち+
」に変化（HP増加を追加）
★3
屋外戦への地形別戦闘力をBに強化
★4
今後のアップデートで追加予定です
★5
今後のアップデートで追加予定です
Lv.1
Lv.30
Lv.40
Lv.50
Lv.60
Lv.70
攻撃力
121
441
551
661
-
-
最大HP
801
2912
3639
4367
-
-
↑
能力解放
†
Lv.10
Lv.20
Lv.25
最大HP
+638
+1275
+1593
攻撃力
+63
+126
+157
治癒力
+77
+154
+193
↑
必要素材
†
＋クリックで展開
Lv
素材
クレジットポイント
1-5
100,000
(500,000)
x2(10)
x10(50)
6-10
100,000
(500,000)
x2(10)
x15(75)
11-15
100,000
(500,000)
x2(10)
x20(100)
16-20
200,000
(1,000,000)
x4(20)
x6(30)
21-25
200,000
(1,000,000)
x4(20)
x8(40)
※括弧内は5Lv分合計
↑
絆ランクボーナス
†
＋クリックで展開
RANK
絆ランクボーナス
2-5
攻撃力+3
6-10
攻撃力+5
11-15
攻撃力+7 最大HP+88
16-20
攻撃力+9 最大HP+105
～20合計
攻撃力+117 最大HP+965
21-30
攻撃力+2 最大HP+18
31-40
攻撃力+3 最大HP+28
41-50
攻撃力+6 最大HP+46
合計
攻撃力+227 最大HP+1885
↑
ボーナス対象
†
対象
絆20合計ボーナス
絆50合計ボーナス
攻撃力+136 最大HP+980
攻撃力+266 最大HP+1920
↑
絆ストーリー
†
クリックで絆ストーリー一覧を開く
EP
タイトル
解放
絆RANK
報酬
1
夏の海といえば……
2
青輝石x20
2
夏の海での遊び方
3
青輝石x40,メモリアルロビー解禁
3
夏の海 憧憬 感慨
5
青輝石x60
↑
メモリアルロビー
†
BGM
：Colorful Beach
クリックでメモリアルロビー画像を開く
メモロビアニメーションを開く　(サイズは7MB。 開くと読み込みます)
メモロビ制作スタッフ
スタッフ
役割
コンテンツ
isakusan
シナリオライター(共作)
メモリアルロビー ツルギ（水着）
Prenguin
シナリオライター(共作)
メモリアルロビー ツルギ（水着）
Mx2J
イラストレーター
メモリアルロビー ツルギ（水着）
kikihae
アニメーター
メモリアルロビー ツルギ（水着）
CookieBox
背景協力(2D)
メモリアルロビー ツルギ（水着）
テーブル/コンテンツ担当スタッフ
↑
贈り物
†
クリックで好きな贈り物一覧を開く
___
生徒
___
________
高級贈り物
________
_______________________________
通常贈り物
_______________________________
効果特大
効果大
効果大
効果中
ツルギ（水着）
↑
家具モーション
†
対象生徒
__
画像
__
対象家具
ﾚｱﾘﾃｨ
種別
シリーズ
備考
ツルギ（水着）
カラフルな大型プール
★3
小物
サマーリゾート
↑
ボイス
†
クリックでセリフ一覧を開く
一般
獲得
きひひっ……あっ、せ、先生……！？
カフェ1
わ、私にはその、こういうところはあまり……！
カフェ2
こ、ここにいても本当に良いのか……
カフェ3
戦場より、落ち着かない……
カフェ4
え、えっと……あのぅ……うう……うああぁぁぁあ！
カフェ5
うぅ、はっ！？せ、先生……！？
絆ランク増加1
こ、ここまでしてもらって、一体私はどうすれば……
絆ランク増加2
え？うわあぁぁ！？…せ、先生……。
絆ランク増加3
い、いつも、ありがとうございます……先生……。
絆ランク増加4
こういうのは、いつまでも、言い慣れないの、ですが……あ、ありがとうございます……
生徒強化1
こぉれだ～…。こぉれこぉれ～！！
生徒強化2
いいぞ……すごくいい！！
生徒強化3
きゃははははははははは！
生徒強化4
うははは、うは、ははっははっはあーっ！！
固有武器解放
うふふふ……これで、確実に……うひひひひひっ！！！
戦闘
編成1
派手に遊ぶとするかぁ！
編成2
きひひひひっ！
編成選択
うぇぇぇぇあぁぁぁうぅぅぅ……
戦略入場1
ううふふふふ……
戦略入場2
ぎゃーははははははは！
戦略勝利1
きききき……ぐあーははははははは！
戦略勝利2
これだよぉぅ……これぇぇぇえ！！
戦略撤退1
う、うぉぁぁぅ！
戦略撤退2
えぇあぁうぶぉぶべぁぅおぅべぇぇ……
戦術入場1
海……血の海を見る、時間だぁぁぁ！
戦術入場2
待ってろぉぉぉ！
回復
ん……ん……ひゃっほー！
戦術勝利1
うぅふふふふ……
戦術勝利2
……んお？これで全部か……？
戦術撤退1
う、うあぁ……
ノーマルスキル1
ひゃーははは、ひゃああああ！
回避
なんだァ……こんなもんかァ……？
被CC1
ぐあっ！
被CC2
ぎいっ！？
被CC3
くはっ！
バフ1
くふひひひ……！
バフ（自己）1
よーく見てろよー！
戦術移動
逃がすかよぉ！
セクション移動1
まだいるのかぁ？
セクション移動2
ど、またぁ！
EXスキル1
うふふふふ……
EXスキル2
そこに居たかー！
EXスキル3
ギャーー！
EXスキル（フィールド）1
覚悟しろぉよぉー！
EXスキル2（フィールド）
くらえー！
EXスキル3（フィールド）
あぁぉ……
ロビー
ログイン1
お、おかえりなさい先生！
きょ、今日もよろしく、
お願いします……っ。
ログイン2
お、お待ちして
おりました！
