[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ノノミ（水着）拡大2.png]
[画像タイトル: ノノミ（水着）.jpg]
[画像タイトル: Edit バージョン/ノノミ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_FORMCHANGE.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_EXTRADAMAGE.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(アビドス)]
[画像タイトル: エーテルの粉]
[画像タイトル: 中級戦術教育BD(アビドス)]
[画像タイトル: 初級戦術教育BD(アビドス)]
[画像タイトル: エーテルの欠片]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 上級戦術教育BD(アビドス)]
[画像タイトル: 中級戦術教育BD(アビドス)]
[画像タイトル: エーテルの結晶]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: 最上級戦術教育BD(アビドス)]
[画像タイトル: 上級戦術教育BD(アビドス)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 編集済みのレヒニッツ写本]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(アビドス)]
[画像タイトル: 初級技術ノート(アビドス)]
[画像タイトル: 中級技術ノート(アビドス)]
[画像タイトル: 初級技術ノート(アビドス)]
[画像タイトル: エーテルの粉]
[画像タイトル: 中級技術ノート(アビドス)]
[画像タイトル: エーテルの欠片]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 上級技術ノート(アビドス)]
[画像タイトル: 中級技術ノート(アビドス)]
[画像タイトル: エーテルの欠片]
[画像タイトル: レヒニッツ写本のページ]
[画像タイトル: 上級技術ノート(アビドス)]
[画像タイトル: エーテルの結晶]
[画像タイトル: 傷んだレヒニッツ写本]
[画像タイトル: 最上級技術ノート(アビドス)]
[画像タイトル: 上級技術ノート(アビドス)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 編集済みのレヒニッツ写本]
[画像タイトル: 最上級技術ノート(アビドス)]
[画像タイトル: エーテルのエッセンス]
[画像タイトル: 編集済みのレヒニッツ写本]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0092.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの粉]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの欠片]
[画像タイトル: 応用WB]
[画像タイトル: エーテルの欠片]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ノノミ]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ノノミ（水着）_メモリアルロビー.jpg]
[画像タイトル: vQt4TE2.png.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ノノミ（水着）_icon.png]
[画像タイトル: サミュエラ「ザ・ビヨンド」]
[画像タイトル: チェリーローズカラーのグロス]
[画像タイトル: 夏模様の浮き輪]
[画像タイトル: お肌を透明にするBBクリーム]
[画像タイトル: ミリタリー用カモフラージュクリーム3種セット]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Poolparty_01_B_Table_01.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWaw]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-02-11 (火) 13:25:17
全キャラクター一覧
>
★3キャラクター一覧
>
ノノミ（水着）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
クリックで全体画像
名前
ノノミ（水着）
フルネーム
十六夜
ノノミ
レアリティ
★3
役割
STRIKER
ポジション
BACK
クラス
アタッカー
武器種
MG
遮蔽物
-
攻撃タイプ
爆発
防御タイプ
特殊装甲
学園
アビドス高等学校2年生
部活
対策委員会
年齢
16歳
誕生日
9月1日
身長
160cm
趣味
ショッピング
デザイン
9ml
イラスト
9ml
CV
三浦千幸
ちびキャラ
各バージョン
一覧
★2
ノノミ
★3
ノノミ（水着）
基本情報
アビドス高等学校所属、夏の海へ辿り着き、とっても楽しそうなアビドス対策委員会の一員。
行楽地に来ていても、常にみんなのことを気にする優しさは健在。
余談だが今回の旅行が楽しみ過ぎて、いつも以上に色んなものを買ってきた模様。
入手方法
ピックアップ募集「笑顔よ続け、夏の日に」(2022/06/22～2022/07/06)
復刻ピックアップ募集(2023/07/17～2023/07/24)
復刻ピックアップ募集(2024/06/05～2024/06/16)
通常募集
ステータス(初期値/MAX値)
HP
2509
/17864(★3Lv80)
/19300(★4Lv80)
/23875(★5Lv90)
攻撃力
334
/2735(★3Lv80)
/3048(★4Lv80)
/3810(★5Lv90)
防御力
79/437
治癒力
1651
/4288(★3Lv80)
/4726(★4Lv80)
/5684(★5Lv90)
命中値
100
回避値
199
会心値
251
会心ダメージ
200%
防御貫通値
0
安定値
1392
射程距離
750
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
S
屋外戦闘力
D
屋内戦闘力
B
装備（装着可能Lv）
Lv1
帽子
Lv10
ヘアピン
Lv20
腕時計
↑
スキル
†
↑
EXスキル
†
涼しくな～れ♧
Lv
コスト
効果
1
6
敵1人に対して、攻撃力の
695%
分のダメージ
装弾数を
100
消耗する時まで通常攻撃のディレイを
2回
無視する通常攻撃に変更
発動後すぐにリロード
2
敵1人に対して、攻撃力の
800%
分のダメージ
装弾数を
100
消耗する時まで通常攻撃のディレイを
2回
無視する通常攻撃に変更
発動後すぐにリロード
3
敵1人に対して、攻撃力の
904%
分のダメージ
装弾数を
100
消耗する時まで通常攻撃のディレイを
3回
無視する通常攻撃に変更
発動後すぐにリロード
4
敵1人に対して、攻撃力の
1009%
分のダメージ
装弾数を
100
消耗する時まで通常攻撃のディレイを
3回
無視する通常攻撃に変更
発動後すぐにリロード
5
敵1人に対して、攻撃力の
1113%
分のダメージ
装弾数を
100
消耗する時まで通常攻撃のディレイを
4回
無視する通常攻撃に変更
発動後すぐにリロード
↑
ノーマルスキル
†
みんなで楽しく！
Lv
効果
1
40秒
毎に円形範囲内の味方の攻撃速度を
11.4%
増加(
30
秒間)
2
40秒
毎に円形範囲内の味方の攻撃速度を
11.9%
増加(
30
秒間)
3
40秒
毎に円形範囲内の味方の攻撃速度を
12.5%
増加(
30
秒間)
4
40秒
毎に円形範囲内の味方の攻撃速度を
14.8%
増加(
30
秒間)
5
40秒
毎に円形範囲内の味方の攻撃速度を
15.3%
増加(
30
秒間)
6
40秒
毎に円形範囲内の味方の攻撃速度を
15.9%
増加(
30
秒間)
7
40秒
毎に円形範囲内の味方の攻撃速度を
18.2%
増加(
30
秒間)
8
40秒
毎に円形範囲内の味方の攻撃速度を
18.8%
増加(
30
秒間)
9
40秒
毎に円形範囲内の味方の攻撃速度を
19.3%
増加(
30
秒間)
10
40秒
毎に円形範囲内の味方の攻撃速度を
21.6%
増加(
30
秒間)
↑
パッシブスキル
†
待ちきれません♧
待ちきれません♧+
Lv
効果
効果（固有武器★2）
1
攻撃速度を
14%
増加
防御貫通値を
360
増加/
さらに攻撃速度を
14%
増加
2
攻撃速度を
14.7%
増加
防御貫通値を
378
増加/
さらに攻撃速度を
14.7%
増加
3
攻撃速度を
15.4%
増加
防御貫通値を
396
増加/
さらに攻撃速度を
15.4%
増加
4
攻撃速度を
18.2%
増加
防御貫通値を
468
増加/
さらに攻撃速度を
18.2%
増加
5
攻撃速度を
18.9%
増加
防御貫通値を
486
増加/
さらに攻撃速度を
18.9%
増加
6
攻撃速度を
19.6%
増加
防御貫通値を
504
増加/
さらに攻撃速度を
19.6%
増加
7
攻撃速度を
22.4%
増加
防御貫通値を
576
増加/
さらに攻撃速度を
22.4%
増加
8
攻撃速度を
23.1%
増加
防御貫通値を
594
増加/
さらに攻撃速度を
23.1%
増加
9
攻撃速度を
23.8%
増加
防御貫通値を
612
増加/
さらに攻撃速度を
23.8%
増加
10
攻撃速度を
26.6%
増加
防御貫通値を
684
増加/
さらに攻撃速度を
26.6%
増加
↑
サブスキル
†
冷たいですよ～！
Lv
効果
1
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
10.9%
分の追加ダメージ
2
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
11.6%
分の追加ダメージ
3
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
12.1%
分の追加ダメージ
4
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
14.3%
分の追加ダメージ
5
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
14.8%
分の追加ダメージ
6
Exスキルによって通常攻撃が変更された状態において、通常攻撃で敵を攻撃する時、攻撃力の
15.4%
