[画像タイトル: Edit #Profile]
[画像タイトル: Edit]
[画像タイトル: ミネ（アイドル）.png]
[画像タイトル: ミネSD.png]
[画像タイトル: Edit バージョン/ミネ]
[画像タイトル: Edit #Skills]
[画像タイトル: Edit]
[画像タイトル: Edit #ExSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_BATTLEITEM.png]
[画像タイトル: Edit #NormalSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_WEAPONDEBUFF.png]
[画像タイトル: Edit #PassiveSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #SubSkill]
[画像タイトル: Edit]
[画像タイトル: SKILLICON_STATBUFF.png]
[画像タイトル: Edit #Upgrades]
[画像タイトル: Edit]
[画像タイトル: Edit #ExUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 初級戦術教育BD(トリニティ)]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 中級戦術教育BD(トリニティ)]
[画像タイトル: 修復済みのトーテムポール]
[画像タイトル: 壊れた古代ロケット]
[画像タイトル: 最上級戦術教育BD(トリニティ)]
[画像タイトル: 上級戦術教育BD(トリニティ)]
[画像タイトル: 完全なトーテムポール]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: Edit #CommonUpgrades]
[画像タイトル: Edit]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: 修復済みのトーテムポール]
[画像タイトル: 完全なトーテムポール]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 壊れた古代ロケット]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: 秘伝ノート]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 初級技術ノート(トリニティ)]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 中級技術ノート(トリニティ)]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: 古代ロケットの欠片]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 修復済みのトーテムポール]
[画像タイトル: 壊れた古代ロケット]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 上級技術ノート(トリニティ)]
[画像タイトル: 完全なトーテムポール]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: 最上級技術ノート(トリニティ)]
[画像タイトル: 完全なトーテムポール]
[画像タイトル: 修復途中の古代ロケット]
[画像タイトル: 秘伝ノート]
[画像タイトル: Edit #UniqueWeapon]
[画像タイトル: Edit]
[画像タイトル: Weapon_Icon_CH0152.png]
[画像タイトル: Edit #AbilityRelease]
[画像タイトル: Edit]
[画像タイトル: Edit #AbilityReleaseMaterial]
[画像タイトル: Edit]
[画像タイトル: 応用WB]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 応用WB]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 応用WB]
[画像タイトル: トーテムポールの破片]
[画像タイトル: 応用WB]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: 応用WB]
[画像タイトル: 破損したトーテムポール]
[画像タイトル: Edit #RelationshipBonus]
[画像タイトル: Edit]
[画像タイトル: Edit #BonusTarget]
[画像タイトル: Edit]
[画像タイトル: ミネ_icon.png]
[画像タイトル: Edit #RelationshipStory]
[画像タイトル: Edit]
[画像タイトル: Edit #MemorialLobby]
[画像タイトル: Edit]
[画像タイトル: ミネ（アイドル）_メモリアルロビー.jpg]
[画像タイトル: Edit #Gift]
[画像タイトル: Edit]
[画像タイトル: Gift_Reaction_4.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_3.png]
[画像タイトル: Gift_Reaction_2.png]
[画像タイトル: ミネ（アイドル）_icon.png]
[画像タイトル: おしゃれなくし]
[画像タイトル: サミュエラ「ザ・ビヨンド」]
[画像タイトル: ウェーブキャットの枕]
[画像タイトル: チェリーローズカラーのグロス]
[画像タイトル: リボンのついた熊のぬいぐるみ]
[画像タイトル: ペロロの腹筋ローラー]
[画像タイトル: お肌を透明にするBBクリーム]
[画像タイトル: ミリタリー用カモフラージュクリーム3種セット]
[画像タイトル: Edit #Motion]
[画像タイトル: Edit]
[画像タイトル: My_Event073_Idolstage.png]
[画像タイトル: Edit #Voices]
[画像タイトル: Edit]
[画像タイトル: Edit #Evaluation]
[画像タイトル: Edit]
[画像タイトル: Edit #SkillCommentary]
[画像タイトル: Edit]
[画像タイトル: Edit #Operation]
[画像タイトル: Edit]
[画像タイトル: Edit #TotalWar]
[画像タイトル: Edit]
[画像タイトル: Edit #TacticsConfrontation]
[画像タイトル: Edit]
[画像タイトル: Edit #Synergy]
[画像タイトル: Edit]
[画像タイトル: Edit #Trivia]
[画像タイトル: Edit]
[画像タイトル: Edit #Twitter]
[画像タイトル: Edit]
[画像タイトル: Edit #Comments]
[画像タイトル: Edit]
"最終更新日時:2025-05-15 (木) 16:39:05
全キャラクター一覧
>
★1キャラクター一覧
>
ミネ（アイドル）
基本情報
スキル
EXスキル
ノーマルスキル
パッシブスキル
サブスキル
スキル成長素材
EXスキル
その他スキル
固有武器
能力解放
必要素材
絆ランクボーナス
ボーナス対象
絆ストーリー
メモリアルロビー
贈り物
家具モーション
ボイス
ゲームにおいて
スキル解説
運用考察
総力戦
戦術対抗戦
編成考察
小ネタ
公式ツイッターの紹介
コメントフォーム
基本情報
†
画像
プロフィール
名前
ミネ（アイドル）
フルネーム
蒼森
ミネ
レアリティ
★1
役割
STRIKER
ポジション
FRONT
クラス
タンク
武器種
SG
遮蔽物
-
攻撃タイプ
爆発
防御タイプ
重装甲
学園
トリニティ総合学園3年生
部活
救護騎士団
年齢
17歳
誕生日
11月23日
身長
168cm
趣味
医療品集め
デザイン
dydldidl
イラスト
dydldidl
CV
堀江由衣
ちびキャラ
各バージョン
一覧
★3
ミネ
★1
ミネ（アイドル）
基本情報
トリニティ総合学園所属、救護騎士団の団長であり、アイドルユニット「アンティーク・セラフィム」のメンバー。
「親しみやすい救護騎士団長」になりたいという想いから、アイドルイベントに志願した。
アイドル衣装に着替えても真面目で頑固な性格は変わらないが、
可愛いもの好きである自分に少しだけ素直になった模様。
入手方法
イベント「
Serenade Promenade
」(2024/10/23～2024/11/06)
ステータス(初期値/MAX値)
HP
2488
/42179(★3Lv90)
/45568(★4Lv90)
/50840(★5Lv90)
攻撃力
232
/2583(★3Lv90)
/2880(★4Lv90)
/3240(★5Lv90)
防御力
149/821
治癒力
1310
/4308(★3Lv90)
/4748(★4Lv90)
/5298(★5Lv90)
命中値
702
回避値
199
会心値
234
会心ダメージ
200%
防御貫通値
0
安定値
1656
射程距離
350
コスト回復力
700
CC強化力
100
CC抵抗力
100
市街地戦闘力
B
屋外戦闘力
B
屋内戦闘力
B
装備（装着可能Lv）
Lv1
シューズ
Lv10
バッグ
Lv20
お守り
↑
スキル
†
↑
EXスキル
†
スーパーアイドルランディング
Lv
コスト
効果
1
3
指定した位置に移動した後、攻撃速度を
13%
増加（
30秒
間）/
「ペンライト」を
5個
獲得（「ペンライト」は最大
30個
まで重複）/
舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、
舞台装置に到着した対象に対して、攻撃速度を
13%
増加（
30秒
間）
2
指定した位置に移動した後、攻撃速度を
15%
増加（
30秒
間）/
「ペンライト」を
5個
獲得（「ペンライト」は最大
30個
まで重複）/
舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、
舞台装置に到着した対象に対して、攻撃速度を
15%
増加（
30秒
間）
3
指定した位置に移動した後、攻撃速度を
18.9%
増加（
30秒
間）/
「ペンライト」を
5個
獲得（「ペンライト」は最大
30個
まで重複）/
舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、
舞台装置に到着した対象に対して、攻撃速度を
18.9%
増加（
30秒
間）
4
指定した位置に移動した後、攻撃速度を
20.8%
増加（
30秒
間）/
「ペンライト」を
5個
獲得（「ペンライト」は最大
30個
まで重複）/
舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、
舞台装置に到着した対象に対して、攻撃速度を
20.8%
増加（
30秒
間）
5
指定した位置に移動した後、攻撃速度を
24.7%
増加（
30秒
間）/
「ペンライト」を
5個
獲得（「ペンライト」は最大
30個
まで重複）/
舞台装置を召喚し自身を除く味方3人を舞台装置の位置に移動させ、
舞台装置に到着した対象に対して、攻撃速度を
24.7%
増加（
30秒
間）
↑
ノーマルスキル
†
あなたに決めました
Lv
効果
1
30秒
毎に、自身が持つ「ペンライト」を
10個
単位で消耗し、敵1人に対してダメージおよび攻撃力減少（
20秒
間）
「ペンライト」消耗なし：攻撃力の
208%
分のダメージ/攻撃力を
16.7%
減少
「ペンライト」10個：攻撃力の
327%
分のダメージ/攻撃力を
18.3%
減少
「ペンライト」20個：攻撃力の
446%
分のダメージ/攻撃力を
20%
減少
「ペンライト」30個：攻撃力の
565%
分のダメージ/攻撃力を
21.7%
減少
2
30秒
毎に、自身が持つ「ペンライト」を
10個
単位で消耗し、敵1人に対してダメージおよび攻撃力減少（
20秒
間）
「ペンライト」消耗なし：攻撃力の
218%
分のダメージ/攻撃力を
16.7%
減少
「ペンライト」10個：攻撃力の
343%
分のダメージ/攻撃力を
18.3%
減少
「ペンライト」20個：攻撃力の
468%
分のダメージ/攻撃力を
20%
減少
「ペンライト」30個：攻撃力の
593%
分のダメージ/攻撃力を
21.7%
